Author,Author Average Rating,Author Votes,Review Count,Distinct Works,chi
Ursula K. Le Guin,4.07,1258005,85585,753,45
Jodi Picoult,3.99,4447186,273761,82,34
Frances Cha,3.76,41079,5356,4,31
Michelle McNamara,4.12,210117,18190,2,41
George Orwell,4.1,8007938,201434,729,45
Anna Davies,3.06,2795,492,18,32
John Berger,3.92,374960,5391,190,34
Jason Fried,3.96,186338,7255,8,31
Holly Black,4.09,2906066,278341,168,44
Osamu Dazai,4.06,132342,14887,648,45
Suzanne Collins,4.26,14551657,471013,32,43
Ernest Hemingway,3.83,2446525,97595,944,35
George R.R. Martin,4.37,6423128,220105,1121,45
Mindy Kaling,3.91,744671,39434,23,33
Katie McGarry,4.08,273501,24535,25,43
John Ruskin,3.77,8484,772,753,35
Raven Leilani,3.56,82410,10825,1,31
Chinua Achebe,3.74,378361,20932,102,34
Bram Stoker,4.0,1200568,43083,1456,45
Victoria Schwab,3.97,394763,67494,30,33
Kate Atkinson,3.81,654534,67510,57,34
C.S. Lewis,4.16,7067589,179295,671,45
Kate Quinn,4.32,824549,70577,26,43
Junot Díaz,3.88,394370,33043,52,33
Jesse Kellerman,3.57,37973,4159,20,33
Mark Kurlansky,3.78,117164,9890,56,34
Emily Henry,4.05,1909407,216963,11,42
Patrick Ness,4.1,796599,104007,47,43
William Codpiece Thwackery,2.86,546,140,2,21
Claire Legrand,3.85,103339,18161,24,33
Rohinton Mistry,4.28,180570,12494,23,43
Jeph Loeb,4.11,386954,15760,841,45
Chuck Palahniuk,3.84,1638041,74331,149,34
Elizabeth Gaskell,4.01,315623,20932,578,45
Jared Diamond,4.01,502119,20648,46,43
Agatha Christie,4.02,5724161,337897,3345,45
Kim  Savage,3.16,4499,1088,3,31
Susan McCorkindale,2.9,1506,367,5,21
Roald Dahl,4.14,3884933,114661,913,45
Jenny  Lawson,3.91,382119,40707,7,31
Malcolm Gladwell,4.03,2627214,106464,90,44
Alan Lightman,3.81,143146,9525,44,33
Margaret Atwood,4.04,3486340,218499,470,45
Lauren  Hough,3.27,8713,1592,1,31
William Shakespeare,3.86,7295720,154513,7712,35
Alice Oseman,4.5,1749895,210923,48,43
Brooke Parkhurst,3.35,417,77,4,31
David Mamet,3.83,83307,4830,147,34
Sam Humphries,3.62,36471,5107,372,35
David Bayles,3.76,84922,1277,5,31
Tia Williams,4.08,91995,11681,21,43
Sue Monk Kidd,4.07,1745263,82645,38,43
Neil Gaiman,4.14,7226566,450340,1481,45
Colleen Hoover,4.24,9637673,874520,70,44
Fyodor Dostoevsky,4.19,1947728,101872,2344,45
Lily King,3.94,223509,26214,14,32
Shel Silverstein,4.34,3015019,42829,118,44
Alexandra Bracken,4.09,505672,58592,31,43
Patrick Süskind,4.01,441779,23386,33,43
Bryn Greenwood,4.02,152084,20367,5,41
Marie Rutkoski,4.03,250064,34556,22,43
Charles Dickens,3.91,3609527,121943,5782,35
Ta-Nehisi Coates,4.27,499209,49084,221,45
Siddhartha Mukherjee,4.32,145036,12607,28,43
Harriet Lane,3.08,15629,2648,6,31
Benjamin Lebert,3.01,3154,215,14,32
Frank Miller,4.13,820018,23429,806,45
Bram Stoker,4.0,1200560,43083,1456,45
Peter Carey,3.61,87855,7609,77,34
Stephen King,4.06,17484985,775861,1886,45
E. Llewellyn,2.89,340,137,2,21
Malinda Lo,3.92,139559,20546,51,33
J.R.R. Tolkien,4.35,10073631,175261,512,45
Colleen Hoover,4.24,9639646,874623,62,44
Peter Straub,4.02,466352,21219,220,45
Katie Crouch,3.13,19426,3024,10,32
Miranda Cowley Heller,3.86,217680,16578,1,31
Randall Munroe,4.15,202771,14524,18,42
Melissa de la Cruz,3.79,719526,44486,125,34
Candace Bushnell,3.37,234967,12462,33,33
Rebecca    Campbell,2.68,614,80,3,21
Scott Lobdell,3.78,102390,8285,1229,35
Susan Schneider,3.37,720,121,22,33
Helene Wecker,4.12,129617,16631,10,42
Tuhin A. Sinha,3.24,1747,233,14,32
Anthony Burgess,4.0,751071,22405,193,44
Dan Simmons,4.09,710917,41028,223,45
Sally Rooney,3.78,1665226,166483,33,33
Carolyn Murnick,3.06,1795,338,2,31
Emma Tennant,2.76,3648,642,59,24
H.G. Wells,3.82,1238344,50189,2250,35
Sally Rooney,3.78,1665108,166468,33,33
Carley Fortune,4.31,196738,21857,2,41
B.R. Collins,3.34,1103,202,8,31
Umberto Eco,3.97,641237,29105,652,35
Jessamine Chan,3.56,49840,7703,1,31
Amy Sohn,3.56,13499,1269,18,32
Benjamin Graham,4.25,126869,3365,59,44
Becky  Chambers,4.25,327695,49882,26,43
Susanna Kaysen,3.91,219055,7821,9,32
Malcolm X,4.35,259327,8571,44,43
Felipe Smith,3.67,7105,857,54,34
Bryan Stevenson,4.62,261984,31967,22,43
Kurt Vonnegut Jr.,4.07,2787266,100773,464,45
Ernest Hemingway,3.83,2446480,97593,944,35
Roald Dahl,4.14,3884953,114661,913,45
Amy Grace Loyd,2.79,1323,233,1,21
Liane Moriarty,3.95,3271355,221863,35,33
Jazon Dion Fletcher,2.62,151,53,2,21
Robert Kolker,4.06,125434,12561,3,41
