1. Author,Author Average Rating,Distinct Works
A.L. Kennedy,3.65,69
Aasif Mandvi,3.31,10
Abby Grahame,2.88,1
Abby Jimenez,4.15,5
Abi Daré,4.45,4
Abi Maxwell,3.21,3
Abigail Jones,2.81,19
Abraham Verghese,4.30,14
Adam Kay,4.35,31
Adam M. Grant,4.04,8
Adam Rex,3.97,70
Adam Silvera,3.85,23
Adan Jerreat-Poole,2.98,4
Adèle Lang,3.59,6
Adrienne Young,4.00,12
Agatha Christie,4.02,3345
Agustina Bazterrica,3.88,9
Aiden Thomas,4.24,8
Alan A. McLean,1.99,5
Alan Cumyn,2.86,16
Alan Lightman,3.81,44
Alan Moore,4.24,1033
Albert Camus,4.02,564
Aldous Huxley,3.99,442
Alex Aster,3.54,5
Alex Michaelides,4.09,9
Alex North,3.97,12
Alexander Campion,3.04,5
Alexandra Aldrich,2.91,1
Alexandra Bracken,4.09,31
Alexandra Christo,3.78,8
Alexandra Coutts,3.05,2
Alexandre Dumas,4.20,3373
Alexis  Hall,4.00,49
Alexis Henderson,3.80,4
Ali Hazelwood,4.13,9
Alice Clayton,4.02,19
Alice Feeney,3.89,15
Alice LaPlante,3.54,17
Alice Mattison,3.19,24
Alice McDermott,3.60,23
Alice Oseman,4.50,48
Alice Sebold,3.82,14
Alice Walker,4.23,197
Alisa Sheckley,3.04,2
Alisa Valdes,3.56,23
Alison Cherry,3.59,9
Alix E. Harrow,4.01,39
Alka Joshi,4.18,4
Allie Brosh,4.17,3
Ally Condie,3.60,28
Alyson Noel,3.68,54
Alyssa Cole,3.70,37
Amal El-Mohtar,3.95,111
Amanda Elyot,3.51,4
Amanda Goldberg,2.97,4
Amanda Lovelace,3.82,26
Amanda Marrone,3.45,8
Amanda McKittrick Ros,2.19,11
Amber   Smith,4.16,9
Amie Kaufman,4.21,30
Amir Tag Elsir,3.34,29
Amor Towles,4.19,22
Amy Grace Loyd,2.79,1
Amy Poehler,3.86,5
Amy Sohn,3.56,18
Amy Tan,3.94,84
Ana Huang,4.02,13
Andersen Gabrych,3.82,52
André Aciman,4.00,49
Andrea Maria Schenkel,3.19,13
Andrea Rothman,2.89,1
Andrew Keen,3.21,9
Andrew O'Hagan,3.79,34
Andrew S. Trees,3.31,13
Andrew Sean Greer,3.65,18
Andrzej Sapkowski,4.16,156
Andy Weir,4.28,48
Angela Duckworth,4.08,12
Angeline Boulley,4.36,4
Anita Diamant,4.11,24
Ann Beattie,3.62,108
Ann Brashares,3.80,42
Ann Herendeen,2.85,15
Ann Napolitano,4.08,7
Ann Nocenti,3.60,440
Ann Patchett,3.95,68
Anna  Fields,2.89,2
