,Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres
0,The Left Hand of Darkness (Paperback),Ursula K. Le Guin,4.07,1258005,85585,large,old,4.09,large,"Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Feminism,Speculative Fiction,Novels,LGBT,LGBT"
1,Wish You Were Here (Hardcover),Jodi Picoult,3.99,4447186,273761,medium,new,3.99,large,"Fiction,Contemporary,Audiobook,Romance,Adult,Adult Fiction,Womens Fiction,Realistic Fiction,Literary Fiction,Historical"
2,If I Had Your Face (Hardcover),Frances Cha,3.76,41079,5356,very small,new,3.76,large,"Fiction,Contemporary,Literary Fiction,Adult,Feminism,Cultural,Audiobook,Literature,Adult Fiction,Novels"
3,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer (ebook),Michelle McNamara,4.12,210117,18190,very small,new,4.12,large,"Nonfiction,Crime,Audiobook,Mystery,Mystery,History,Autobiography,Adult,Thriller,Thriller"
4,1984 (Paperback),George Orwell,4.1,8007938,201434,large,old,4.19,large,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Politics,Academic,Fantasy,Adult"
5,Wrecked,Anna Davies,3.06,2795,492,small,new,2.93,medium,"Young Adult,Mythology,Fantasy,Romance,Fantasy,Romance,Fantasy,Fantasy,Fiction,Fantasy"
6,Ways of Seeing (Paperback),John Berger,3.92,374960,5391,average,old,3.91,large,"Art,Nonfiction,Philosophy,Writing,Art,Art,Design,Philosophy,History,Psychology"
7,Rework (Hardcover),Jason Fried,3.96,186338,7255,very small,new,3.97,large,"Business,Nonfiction,Business,Business,Self Help,Productivity,Leadership,Buisness,Self Help,Science"
8,"The Wicked King (The Folk of the Air, #2)",Holly Black,4.09,2906066,278341,average,new,4.33,large,"Fantasy,Young Adult,Romance,Fairies,Young Adult,Fiction,Fantasy,Audiobook,Romance,Paranormal"
9,No Longer Human (Paperback),Osamu Dazai,4.06,132342,14887,large,old,4.07,large,"Fiction,Classics,Asian Literature,Cultural,Literature,Novels,Literature,Literary Fiction,Cultural,Literature"
