,Title,Author,Author Average Rating,Rating,Raters,Genres
0,The Left Hand of Darkness (Paperback),Ursula K. Le Guin,4.07,4.09,155037,"Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Feminism,Speculative Fiction,Novels,LGBT,LGBT"
1,Wish You Were Here (Hardcover),Jodi Picoult,3.99,3.99,153115,"Fiction,Contemporary,Audiobook,Romance,Adult,Adult Fiction,Womens Fiction,Realistic Fiction,Literary Fiction,Historical"
2,If I Had Your Face (Hardcover),Frances Cha,3.76,3.76,41078,"Fiction,Contemporary,Literary Fiction,Adult,Feminism,Cultural,Audiobook,Literature,Adult Fiction,Novels"
3,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer (ebook),Michelle McNamara,4.12,4.12,210038,"Nonfiction,Crime,Audiobook,Mystery,Mystery,History,Autobiography,Adult,Thriller,Thriller"
4,1984 (Paperback),George Orwell,4.1,4.19,4034352,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Politics,Academic,Fantasy,Adult"
5,Wrecked,Anna Davies,3.06,2.93,1818,"Young Adult,Mythology,Fantasy,Romance,Fantasy,Romance,Fantasy,Fantasy,Fiction,Fantasy"
6,Ways of Seeing (Paperback),John Berger,3.92,3.91,334795,"Art,Nonfiction,Philosophy,Writing,Art,Art,Design,Philosophy,History,Psychology"
7,Rework (Hardcover),Jason Fried,3.96,3.97,158868,"Business,Nonfiction,Business,Business,Self Help,Productivity,Leadership,Buisness,Self Help,Science"
8,"The Wicked King (The Folk of the Air, #2)",Holly Black,4.09,4.33,476932,"Fantasy,Young Adult,Romance,Fairies,Young Adult,Fiction,Fantasy,Audiobook,Romance,Paranormal"
9,No Longer Human (Paperback),Osamu Dazai,4.06,4.07,88544,"Fiction,Classics,Asian Literature,Cultural,Literature,Novels,Literature,Literary Fiction,Cultural,Literature"
10,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,4.26,3.83,330302,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Audiobook,Romance,Adventure,Young Adult,Science Fiction Fantasy"
11,For Whom the Bell Tolls (Paperback),Ernest Hemingway,3.83,3.98,275776,"Classics,Fiction,Historical,Literature,War,Novels,Literature,Cultural,Classics,Historical"
12,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.37,4.41,872420,"Fantasy,Fiction,Fantasy,Science Fiction Fantasy,Fantasy,Adult,Adventure,Audiobook,Fantasy,Epic"
13,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.91,3.86,471856,"Nonfiction,Autobiography,Humor,Audiobook,Biography,Humor,Biography Memoir,Biography,Writing,Adult"
14,"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,4.08,4.05,121030,"Romance,Young Adult,Contemporary,New Adult,Romance,Young Adult,Realistic Fiction,Fiction,Young Adult,Young Adult"
15,Traffic,John Ruskin,3.77,2.88,680,"Classics,Nonfiction,Art,Writing,Literature,Short Stories,European Literature,Philosophy,Politics,Historical"
16,Luster (Hardcover),Raven Leilani,3.56,3.56,82410,"Fiction,Contemporary,Literary Fiction,Audiobook,Romance,Adult,Race,Novels,Adult Fiction,Cultural"
17,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,3.72,338897,"Fiction,Classics,Historical,Cultural,Academic,Literature,Novels,Academic,Western Africa,Historical"
18,Dracula (Paperback),Bram Stoker,4.0,4.01,1138461,"Classics,Horror,Fiction,Fantasy,Paranormal,Gothic,Fantasy,Literature,Audiobook,Literature"
19,"This Savage Song (Monsters of Verity, #1)",Victoria Schwab,3.97,4.05,91467,"Fantasy,Young Adult,Science Fiction,Fantasy,Fantasy,Fiction,Young Adult,Audiobook,Horror,Science Fiction"
20,"Life After Life (Todd Family, #1)",Kate Atkinson,3.81,3.77,217612,"Fiction,Historical,Fantasy,Historical,Science Fiction,Audiobook,Literary Fiction,Adult,War,War"
21,The Screwtape Letters (Kindle Edition),C.S. Lewis,4.16,4.25,398606,"Fiction,Classics,Christian,Religion,Religion,Fantasy,Religion,Christian Fiction,Religion,Philosophy"
22,The Alice Network (Paperback),Kate Quinn,4.32,4.31,394071,"Historical,Fiction,Historical,Audiobook,War,War,Adult,Cultural,Book Club,Adult Fiction"
23,The Brief Wondrous Life of Oscar Wao (Hardcover),Junot Díaz,3.88,3.89,251843,"Fiction,Contemporary,Magical Realism,Novels,Literary Fiction,Historical,Literature,Audiobook,Book Club,Adult"
24,Potboiler,Jesse Kellerman,3.57,2.9,831,"Mystery,Thriller,Fiction,Suspense,Spy Thriller,Mystery,Adult Fiction,Audiobook"
25,Salt: A World History (Paperback),Mark Kurlansky,3.78,3.74,66751,"History,Nonfiction,Food and Drink,Science,History,Historical,History,Audiobook,Food and Drink,History"
26,Book Lovers (Hardcover),Emily Henry,4.05,4.24,488545,"Romance,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Writing,Adult Fiction,New Adult"
27,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,4.1,3.97,184622,"Young Adult,Science Fiction,Science Fiction,Fantasy,Fiction,Adventure,Young Adult,Thriller,Audiobook,Apocalyptic"
28,Fifty Shades of Mr Darcy: A Parody,William Codpiece Thwackery,2.86,2.86,545,"Romance,Humor,Adult Fiction,Fiction,Humor,Adult,Erotica,Historical,Historical,Romance"
