Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,cluster
4.07,1258005,85585,large,old,4.09,large,0
3.99,4447186,273761,medium,new,3.99,large,0
3.76,41079,5356,very small,new,3.76,large,0
4.12,210117,18190,very small,new,4.12,large,0
4.1,8007938,201434,large,old,4.19,large,0
3.06,2795,492,small,new,2.93,medium,0
3.92,374960,5391,average,old,3.91,large,0
3.96,186338,7255,very small,new,3.97,large,0
4.09,2906066,278341,average,new,4.33,large,0
4.06,132342,14887,large,old,4.07,large,0
4.26,14551657,471013,small,new,3.83,large,0
3.83,2446525,97595,large,old,3.98,large,0
4.37,6423128,220105,large,new,4.41,large,0
3.91,744671,39434,small,new,3.86,large,0
4.08,273501,24535,small,new,4.05,large,0
3.77,8484,772,large,new,2.88,small,0
3.56,82410,10825,very small,new,3.56,large,0
3.74,378361,20932,average,old,3.72,large,0
4.0,1200568,43083,large,old,4.01,large,0
3.97,394763,67494,small,new,4.05,large,0
3.81,654534,67510,medium,new,3.77,large,0
4.16,7067589,179295,large,old,4.25,large,0
4.32,824549,70577,small,new,4.31,large,0
3.88,394370,33043,medium,new,3.89,large,0
3.57,37973,4159,small,new,2.9,small,0
3.78,117164,9890,medium,new,3.74,large,0
4.05,1909407,216963,small,new,4.24,large,0
4.1,796599,104007,small,new,3.97,large,0
2.86,546,140,very small,new,2.86,small,0
3.85,103339,18161,small,new,3.82,large,0
4.28,180570,12494,small,new,4.37,large,0
4.11,386954,15760,large,new,2.41,small,0
3.84,1638041,74331,average,new,4.19,large,0
4.01,315623,20932,large,old,4.14,large,0
4.09,2906066,278341,average,new,4.37,large,0
4.01,502119,20648,small,new,4.04,large,0
4.02,5724161,337897,large,new,2.88,medium,0
3.16,4499,1088,very small,new,2.7,small,0
2.9,1506,367,very small,new,2.78,medium,0
4.14,3884933,114661,large,old,4.22,large,0
3.91,382119,40707,very small,new,3.89,large,0
4.03,2627214,106464,medium,new,3.96,large,0
3.81,143146,9525,small,new,2.85,medium,0
4.04,3486340,218499,large,old,4.13,large,0
3.27,8713,1592,very small,new,3.27,medium,0
3.86,7295720,154513,large,old,3.74,large,0
4.5,1749895,210923,small,new,4.28,large,0
3.35,417,77,very small,new,2.23,small,0
3.83,83307,4830,average,new,2.92,medium,0
3.62,36471,5107,large,new,2.96,small,0
3.76,84922,1277,very small,new,3.76,large,0
4.08,91995,11681,small,new,4.08,large,0
4.07,1745263,82645,small,new,4.25,large,0
4.14,7226566,450340,large,new,4.1,large,0
4.24,9637673,874520,medium,new,4.05,large,0
4.19,1947728,101872,large,old,4.17,large,0
3.94,223509,26214,small,new,4.05,large,0
4.34,3015019,42829,average,old,4.32,large,0
4.09,505672,58592,small,new,3.79,large,0
4.01,441779,23386,small,old,4.03,large,0
4.02,152084,20367,very small,new,4.02,large,0
4.03,250064,34556,small,new,3.96,large,0
3.91,3609527,121943,large,old,4.07,large,0
4.27,499209,49084,average,new,4.4,large,0
4.32,145036,12607,small,new,4.32,large,0
3.08,15629,2648,very small,new,2.82,medium,0
3.01,3154,215,small,new,2.92,medium,0
4.13,820018,23429,large,new,1.98,small,0
4.0,1200560,43083,large,new,2.8,medium,0
3.61,87855,7609,medium,new,2.83,medium,0
4.06,17484985,775861,large,old,3.93,large,0
2.89,340,137,very small,new,2.81,small,0
3.92,139559,20546,medium,new,4.26,large,0
4.35,10073631,175261,large,old,4.52,large,0
4.24,9639646,874623,medium,new,4.22,large,0
4.02,466352,21219,average,new,2.97,medium,0
3.13,19426,3024,very small,new,2.84,medium,0
3.86,217680,16578,very small,new,3.86,large,0
4.15,202771,14524,small,new,4.14,large,0
3.79,719526,44486,average,new,2.63,medium,0
3.37,234967,12462,small,new,2.84,large,0
2.68,614,80,very small,new,2.66,small,0
3.78,102390,8285,large,new,2.84,small,0
3.37,720,121,small,new,2.76,small,0
4.12,129617,16631,very small,new,4.12,large,0
3.24,1747,233,small,new,2.89,small,0
4.0,751071,22405,average,old,4.0,large,0
4.09,710917,41028,average,new,4.25,large,0
3.78,1665226,166483,small,new,3.8,large,0
3.06,1795,338,very small,new,2.81,medium,0
2.76,3648,642,medium,new,2.49,medium,0
3.82,1238344,50189,large,old,3.83,large,0
3.78,1665108,166468,small,new,3.82,large,0
4.31,196738,21857,very small,new,4.31,large,0
4.05,1909407,216963,small,new,4.05,large,0
3.34,1103,202,very small,new,2.84,small,0
3.97,641237,29105,large,old,4.13,large,0
3.56,49840,7703,very small,new,3.56,large,0
4.5,1749895,210923,small,new,4.21,large,0
3.56,13499,1269,small,new,2.92,medium,0
4.25,126869,3365,medium,old,4.25,large,0
4.25,327695,49882,small,new,4.17,large,0
3.91,219055,7821,very small,new,3.92,large,0
4.35,259327,8571,small,old,4.35,large,0
3.67,7105,857,medium,new,2.77,small,0
4.62,261984,31967,small,new,4.63,large,0
4.07,2787266,100773,large,old,4.07,large,0
3.83,2446480,97593,large,old,3.8,large,0
4.14,3884953,114661,large,old,4.17,large,0
2.79,1323,233,very small,new,2.79,medium,0
3.95,3271355,221863,small,new,3.54,large,0
2.62,151,53,very small,new,2.62,small,0
4.06,125434,12561,very small,new,4.16,large,0
3.92,799433,80016,small,new,3.99,large,0
3.84,982387,65351,small,new,3.86,large,0
4.36,8085813,673367,medium,new,4.57,large,0
4.05,1909874,216997,small,new,4.57,small,0
3.82,2371981,54762,small,new,2.7,large,0
4.23,8430713,485060,average,new,4.43,large,0
3.37,28623,3791,medium,new,2.61,medium,0
4.36,8085813,673367,medium,new,4.52,large,0
4.11,556264,45971,small,new,4.19,large,0
4.09,375352,45670,small,new,4.23,large,0
4.01,1668423,188003,medium,new,3.85,large,0
3.86,338438,36056,very small,new,3.89,large,0
4.06,4699849,273616,small,new,4.01,large,0
3.91,3609527,121943,large,old,3.88,large,0
4.21,574767,59983,medium,old,4.29,large,0
3.8,1052345,31289,small,new,3.82,large,0
4.25,1051380,85287,very small,new,4.25,large,0
4.24,1681066,52900,large,new,4.26,large,0
3.8,307058,20816,large,new,2.96,medium,0
3.84,695944,68308,small,new,3.93,large,0
4.06,209806,9566,small,new,3.93,large,0
2.5,788,494,very small,new,2.52,small,0
4.22,1004938,127742,medium,new,4.17,large,0
4.17,3659366,407619,medium,new,4.03,large,0
4.28,218885,21963,medium,new,4.32,large,0
4.15,1539993,51513,large,new,2.59,small,0
2.89,22319,1081,medium,new,2.68,medium,0
3.29,361,59,very small,new,2.7,small,0
3.96,419784,3783,medium,old,3.95,large,0
4.21,220079,25966,very small,new,4.21,large,0
