Title,Author,Year,Rating,Raters
The Shining (Paperback),Stephen King,1977,4.26,1331732
It (Paperback),Stephen King,1986,4.25,979436
Dracula (Paperback),Bram Stoker,1897,4.01,1119957
Carrie (Mass Market Paperback),Stephen King,1974,3.98,630669
Pet Sematary (Kindle Edition),Stephen King,1983,4.04,516341
Pet Sematary (Kindle Edition),Stephen King,1983,4.04,516341
Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,1818,3.84,1395687
The Haunting of Hill House (Paperback),Shirley Jackson,1959,3.83,237799
'Salem's Lot (Paperback),Stephen King,1975,4.05,398858
The Stand (Hardcover),Stephen King,1978,4.34,702945
Misery (Paperback),Stephen King,1987,4.2,606417
Mexican Gothic (Hardcover),Silvia Moreno-Garcia,2020,3.68,261264
House of Leaves (Paperback),Mark Z. Danielewski,2000,4.09,149054
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,4.01,540950
"Doctor Sleep (The Shining, #2)",Stephen King,2013,4.12,233162
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,2006,4.01,489806
We Have Always Lived in the Castle (Paperback),Shirley Jackson,1962,3.96,172311
Cujo (Paperback),Stephen King,1981,3.76,258563
NOS4A2 (Hardcover),Joe Hill,2013,4.08,116623
The Exorcist (Mass Market Paperback),William Peter Blatty,1971,4.19,210733
"Bird Box (Bird Box, #1)",Josh Malerman,2014,4.04,170247
Heart-Shaped Box (Hardcover),Joe Hill,2007,3.84,123555
Coraline (Paperback),Neil Gaiman,2002,4.09,598467
Needful Things (Paperback),Stephen King,1991,3.95,232425
Christine (Paperback),Stephen King,1983,3.82,223565
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,1886,3.83,491216
Let the Right One In (Hardcover),John Ajvide Lindqvist,2004,4.04,102268
Night Shift (Paperback),Stephen King,1978,4.02,165802
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,2020,3.82,143592
The Only Good Indians (Hardcover),Stephen Graham Jones,2020,3.72,54016
The Outsider (Hardcover),Stephen King,2018,3.99,250144
"Rosemary's Baby (Rosemary's Baby, #1)",Ira Levin,1967,4.02,127441
A Head Full of Ghosts (Hardcover),Paul Tremblay,2015,3.8,65697
Firestarter (Mass Market Paperback),Stephen King,1980,3.91,211607
The Dead Zone (Mass Market Paperback),Stephen King,1979,3.95,205848
Cell (Mass Market Paperback),Stephen King,2006,3.66,210693
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,1988,4.23,517530
Horrorstör (Paperback),Grady Hendrix,2014,3.66,60747
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,2014,3.95,210595
Horns (Hardcover),Joe Hill,2009,3.93,108625
My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,2016,3.97,68935
The Picture of Dorian Gray (Paperback),Oscar Wilde,1890,4.11,1273429
The Troop (Hardcover),Nick Cutter,2014,3.82,52160
The Turn of the Screw (Paperback),Henry James,1898,3.4,135447
"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,1962,3.92,117749
Bag of Bones (Paperback),Stephen King,1998,3.91,187397
The Tommyknockers (Mass Market Paperback),Stephen King,1987,3.58,140655
Thinner (Mass Market Paperback),Richard Bachman,1984,3.75,194828
Under the Dome (Hardcover),Stephen King,2009,3.91,281724
The Dark Half (Paperback),Stephen King,1989,3.8,134110
The Institute (Hardcover),Stephen King,2019,4.2,213130
Skeleton Crew (Paperback),Stephen King,1985,3.97,118367
"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,3.94,565556
The Final Girl Support Group (Hardcover),Grady Hendrix,2021,3.56,76451
"The Passage (The Passage, #1)",Justin Cronin,2010,4.04,201220
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,1981,4.05,308597
I Am Legend (Kindle Edition),Richard Matheson,1954,4.06,117399
Gerald's Game (Hardcover),Stephen King,1992,3.55,148895
Carmilla (Paperback),J. Sheridan Le Fanu,1872,3.83,73796
Desperation (Mass Market Paperback),Stephen King,1996,3.84,132482
Insomnia (Paperback),Stephen King,1994,3.83,146456
The Mist (Paperback),Stephen King,1980,3.95,135974
Dreamcatcher (Paperback),Stephen King,2001,3.64,165409
The Green Mile (Paperback),Stephen King,1996,4.46,287185
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,1985,4.08,188954
American Psycho (Paperback),Bret Easton Ellis,1991,3.82,274382
The Woman in Black (Paperback),Susan         Hill,1983,3.74,59130
"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,2009,3.79,83527
Ghost Story (Mass Market Paperback),Peter Straub,1979,3.94,73898
The Long Walk (Mass Market Paperback),Richard Bachman,1979,4.1,156483
I Am Legend and Other Stories (Paperback),Richard Matheson,1954,4.0,126447
Through the Woods (Hardcover),Emily Carroll,2014,3.94,74004
Tender is the Flesh (Paperback),Agustina Bazterrica,2017,3.89,76059
Hell House (Hardcover),Richard Matheson,1971,3.77,44808
The Amityville Horror (Mass Market Paperback),Jay Anson,1977,3.84,120549
"Into the Drowning Deep (Rolling in the Deep, #1)",Mira Grant,2017,3.99,25014
The Hellbound Heart (Paperback),Clive Barker,1986,4.06,48364
"Full Dark, No Stars (Hardcover)",Stephen King,2011,4.07,102506
The Terror (Hardcover),Dan Simmons,2007,4.06,54414
Revival (Hardcover),Stephen King,2014,3.79,113905
Different Seasons (Mass Market Paperback),Stephen King,1982,4.35,192417
Everything's Eventual (Paperback),Stephen King,2002,3.97,94620
Four Past Midnight (Paperback),Stephen King,1990,3.94,104028
The Girl Who Loved Tom Gordon (Paperback),Stephen King,1999,3.62,147796
The Ruins (Hardcover),Scott        Smith,2006,3.64,40799
Annihilation (Paperback),Jeff VanderMeer,2014,3.74,193474
I'm Thinking of Ending Things (Kindle Edition),Iain Reid,2016,3.59,113216
"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,3.91,102812
The Cabin at the End of the World (Hardcover),Paul Tremblay,2018,3.29,49318
"Welcome to Lovecraft (Locke & Key, #1)",Joe Hill,2008,4.15,92034
Duma Key (Hardcover),Stephen King,2008,3.96,113528
Nightmares and Dreamscapes (Paperback),Stephen King,1993,3.95,78693
"The Talisman (The Talisman, #1)",Stephen King,1984,4.13,119445
Bunny (Hardcover),Mona Awad,2019,3.58,68721
Home Before Dark (Hardcover),Riley Sager,2020,4.09,130151
Rose Madder (Paperback),Stephen King,1995,3.73,105491
Dolores Claiborne (ebook),Stephen King,1992,3.9,140117
Wilder Girls (Hardcover),Rory Power,2019,3.48,70969
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,1988,3.9,144751
"John Dies at the End (John Dies at the End, #1)",David  Wong,2007,3.89,68321
The Ballad of Black Tom (Paperback),Victor LaValle,2016,3.88,22194
The Last House on Needless Street (Hardcover),Catriona Ward,2021,3.87,50408
The Graveyard Book (Hardcover),Neil Gaiman,2008,4.15,497290
"My Heart Is a Chainsaw (The Lake Witch Trilogy, #1)",Stephen Graham Jones,2021,3.58,20107
The Hollow Places (Paperback),T. Kingfisher,2020,3.8,18772
Lovecraft Country (ebook),Matt Ruff,2016,4.02,39160
Nothing But Blackened Teeth (Hardcover),Cassandra Khaw,2021,2.76,21758
The Twisted Ones (Hardcover),T. Kingfisher,2019,3.64,18485
At the Mountains of Madness (Paperback),H.P. Lovecraft,1931,3.84,44779
Hex (Paperback),Thomas Olde Heuvelt,2013,3.73,28742
"Feed (Newsflesh, #1)",Mira Grant,2010,3.85,56100
If It Bleeds (Kindle Edition),Stephen King,2020,4.01,72633
Later (Kindle Edition),Stephen King,2021,4.0,100875
The Call of Cthulhu and Other Weird Stories (Paperback),H.P. Lovecraft,1926,4.18,43742
Sleeping Beauties (Hardcover),Stephen King,2017,3.73,74832
Imaginary Friend (Hardcover),Stephen Chbosky,2019,3.53,41571
The Ocean at the End of the Lane (Hardcover),Neil Gaiman,2013,4.01,558305
Cycle of the Werewolf (Paperback),Stephen King,1983,3.66,55163
20th Century Ghosts (Hardcover),Joe Hill,2005,3.93,39585
"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987,4.23,239990
Swan Song (Mass Market Paperback),Robert McCammon,1987,4.28,62042
The Fireman (Paperback),Joe Hill,2016,3.91,55882
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,2004,3.98,261455
"Psycho (Psycho, #1)",Robert Bloch,1959,4.12,60994
The Regulators (Mass Market Paperback),Richard Bachman,1996,3.71,78751
Uzumaki (Hardcover),Junji Ito,2000,4.44,42133
Watchers (Paperback),Dean Koontz,1987,4.18,158406
Slade House (Kindle Edition),David Mitchell,2015,3.81,59515
The Hunger (Hardcover),Alma Katsu,2018,3.63,22515
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,2014,3.99,279731
Scary Stories to Tell in the Dark (Paperback),Alvin Schwartz,1981,4.05,62843
Lisey's Story (Hardcover),Stephen King,2006,3.7,79759
The Historian (Kindle Edition),Elizabeth Kostova,2005,3.79,256118
The Bazaar of Bad Dreams (Hardcover),Stephen King,2015,3.92,55035
"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,2009,3.31,135098
Things Have Gotten Worse Since We Last Spoke (Kindle Edition),Eric LaRocca,2021,3.05,31186
The Winter People (Hardcover),Jennifer  McMahon,2014,3.81,63238
The Complete Stories and Poems (Hardcover),Edgar Allan Poe,1849,4.38,239625
From a Buick 8 (Hardcover),Stephen King,2002,3.47,64840
Perfume: The Story of a Murderer (Paperback),Patrick Süskind,1985,4.03,404274
The Call of Cthulhu (Kindle Edition),H.P. Lovecraft,1928,3.99,49110
"Black House (The Talisman, #2)",Stephen King,2001,4.02,58745
Kill Creek (Paperback),Scott   Thomas,2017,3.78,15594
Ring Shout (Hardcover),P. Djèlí Clark,2020,4.06,22489
The Fisherman (Paperback),John  Langan,2016,3.94,16542
"The Waste Lands (The Dark Tower, #3)",Stephen King,1991,4.24,204625
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,1990,4.11,109543
The Girl Next Door (Paperback),Jack Ketchum,1989,3.94,31056
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,1999,3.8,99393
"Ring (Ring, #1)",Kōji Suzuki,1991,3.81,19175
Haunted (Paperback),Chuck Palahniuk,2005,3.6,97056
Joyland (Paperback),Stephen King,2013,3.93,141475
Just After Sunset (Hardcover),Stephen King,2008,3.87,51240
The Yellow Wall-Paper (Paperback),Charlotte Perkins Gilman,1892,4.12,144447
What Moves the Dead (Hardcover),T. Kingfisher,2022,4.0,12343
"Jaws (Jaws, #1)",Peter Benchley,1974,3.96,152014
"Days Gone Bye (The Walking Dead, #1)",Robert Kirkman,2004,4.27,219359
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,1979,3.84,190284
The Elementals (Paperback),Michael McDowell,1981,4.02,14958
The Silent Companions (Paperback),Laura  Purcell,2017,3.9,26658
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,2011,3.92,1157289
A Monster Calls (Paperback),Patrick Ness,2011,4.35,244292
Phantoms (Mass Market Paperback),Dean Koontz,1983,3.96,70413
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre (Hardcover),Max Brooks,2020,3.92,37387
The Phantom of the Opera (Paperback),Gaston Leroux,1909,3.96,221173
"Summer of Night (Seasons of Horror, #1)",Dan Simmons,1991,4.04,23478
The Legend of Sleepy Hollow (Paperback),Washington Irving,1820,3.72,64667
The Deep (Hardcover),Nick Cutter,2015,3.4,18603
The Ritual (Paperback),Adam Nevill,2011,3.6,18015
Meddling Kids (Hardcover),Edgar Cantero,2017,3.55,27116
The Road (Hardcover),Cormac McCarthy,2006,3.98,812357
Plain Bad Heroines (Hardcover),Emily M. Danforth,2020,3.67,18193
Her Body and Other Parties: Stories (Paperback),Carmen Maria Machado,2017,3.88,67188
"Head Games (Locke & Key, #2)",Joe Hill,2009,4.32,43468
"The Tale of the Body Thief (The Vampire Chronicles, #4)",Anne Rice,1992,3.74,83579
"The Year of the Witching (Bethel, #1)",Alexis Henderson,2020,3.82,27545
"Alice (The Chronicles of Alice, #1)",Christina Henry,2015,3.86,33704
Come Closer (Paperback),Sara Gran,2003,3.63,17776
"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Clive Barker,1984,4.18,26507
Hearts in Atlantis (Paperback),Stephen King,1999,3.84,90284
"Wizard and Glass (The Dark Tower, #4)",Stephen King,1997,4.25,182960
Carrion Comfort (Mass Market Paperback),Dan Simmons,1989,3.9,21340
House of Hollow (Hardcover),Krystal Sutherland,2021,4.07,44473
The Library at Mount Char (Paperback),Scott  Hawkins,2015,4.09,44065
"The Twelve (The Passage, #2)",Justin Cronin,2012,4.01,94393
The Sun Down Motel (Hardcover),Simone St. James,2020,4.03,113141
Dead Silence (Hardcover),S.A. Barnes,2022,3.81,10270
"The Fall (The Strain Trilogy, #2)",Guillermo del Toro,2010,3.82,37562
"Books of Blood, Volume One (Books of Blood, #1)",Clive Barker,1984,4.04,23827
The Tell-Tale Heart (Hardcover),Edgar Allan Poe,1843,4.24,78135
