,Description
0,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer9363876540876258104"">Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the s</span>
  <span id=""freeText9363876540876258104"" style=""display:none"">Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.</span>
  <a data-text-id=""9363876540876258104"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
1,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer1802676432093842520"">Welcome to Derry, Maine ...<br/><br/>It’s a small city, a place as hauntingly familiar as your own hometown. Only in Derry the haunting is real ...<br/><br/>They were seven teenagers when they first stumbled upon the horror. Now they are grown-up men and women who have gone out into the big world to gain success and happiness. But none of them can withstand the force that has drawn them back </span>
  <span id=""freeText1802676432093842520"" style=""display:none"">Welcome to Derry, Maine ...<br/><br/>It’s a small city, a place as hauntingly familiar as your own hometown. Only in Derry the haunting is real ...<br/><br/>They were seven teenagers when they first stumbled upon the horror. Now they are grown-up men and women who have gone out into the big world to gain success and happiness. But none of them can withstand the force that has drawn them back to Derry to face the nightmare without an end, and the evil without a name.</span>
  <a data-text-id=""1802676432093842520"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
2,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer7581106743817511481""><i>You can find an alternative cover edition for this ISBN <a href=""https://www.goodreads.com/book/show/33805355-dracula"">here</a> and <a href=""https://www.goodreads.com/book/show/34810834-dracula"">here</a>.</i><br/><br/>When Jonathan Harker visits Transylvania to help Count Dracula with the purchase of a London house, he makes a series of horrific discoveries about his client. Soon afterwards, various bizarre incidents unfold in England: an apparently unmanned ship is wrecked off the coast of Whitby; a young woman disco</span>
  <span id=""freeText7581106743817511481"" style=""display:none""><i>You can find an alternative cover edition for this ISBN <a href=""https://www.goodreads.com/book/show/33805355-dracula"">here</a> and <a href=""https://www.goodreads.com/book/show/34810834-dracula"">here</a>.</i><br/><br/>When Jonathan Harker visits Transylvania to help Count Dracula with the purchase of a London house, he makes a series of horrific discoveries about his client. Soon afterwards, various bizarre incidents unfold in England: an apparently unmanned ship is wrecked off the coast of Whitby; a young woman discovers strange puncture marks on her neck; and the inmate of a lunatic asylum raves about the 'Master' and his imminent arrival.<br/><br/>In <i>Dracula</i>, Bram Stoker created one of the great masterpieces of the horror genre, brilliantly evoking a nightmare world of vampires and vampire hunters and also illuminating the dark corners of Victorian sexuality and desire.<br/><br/>This Norton Critical Edition includes a rich selection of background and source materials in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.<br/><br/>Criticism collects seven theoretical interpretations of Dracula by Phyllis A. Roth, Carol A. Senf, Franco Moretti, Christopher Craft, Bram Dijkstra, Stephen D. Arata, and Talia Schaffer.<br/><br/>A Chronology and a Selected Bibliography are included.</span>
  <a data-text-id=""7581106743817511481"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
3,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer4241498777717618853"">A modern classic, Carrie introduced a distinctive new voice in American fiction -- Stephen King. The story of misunderstood high school girl Carrie White, her extraordinary telekinetic powers, and her violent rampage of revenge, remains one of the most barrier-breaking and shocking novels of all time.<br/><br/>Make a date with terror and live the nightmare that is...Carrie<br/>--back cov</span>
  <span id=""freeText4241498777717618853"" style=""display:none"">A modern classic, Carrie introduced a distinctive new voice in American fiction -- Stephen King. The story of misunderstood high school girl Carrie White, her extraordinary telekinetic powers, and her violent rampage of revenge, remains one of the most barrier-breaking and shocking novels of all time.<br/><br/>Make a date with terror and live the nightmare that is...Carrie<br/>--back cover</span>
  <a data-text-id=""4241498777717618853"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
4,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer17479507026575084115"">'<i>This is an alternate Cover Edition for <a href=""https://www.goodreads.com/book/show/22047048"">ASIN: B00K3NEE56</a>.</i> When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son-and now an idyllic home. As a family, they've got it all...right down to the friendly car. But the nearby woods hide a blood-chilling truth</span>
  <span id=""freeText17479507026575084115"" style=""display:none"">'<i>This is an alternate Cover Edition for <a href=""https://www.goodreads.com/book/show/22047048"">ASIN: B00K3NEE56</a>.</i> When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son-and now an idyllic home. As a family, they've got it all...right down to the friendly car. But the nearby woods hide a blood-chilling truth-more terrifying than death itself-and hideously more powerful. The Creeds are going to learn that sometimes dead is better.</span>
  <a data-text-id=""17479507026575084115"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
5,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer2241298152877135051""><i>This is a previously-published edition of ISBN 9780143131847.</i><br/><br/>Mary Shelley's seminal novel of the scientist whose creation becomes a monster<br/><br/>This edition is the original 1818 text, which preserves the hard-hitting and politically charged aspects of Shelley's original writing, as well as her unflinching wit and strong female voice. This edition also includes a new introductio</span>
  <span id=""freeText2241298152877135051"" style=""display:none""><i>This is a previously-published edition of ISBN 9780143131847.</i><br/><br/>Mary Shelley's seminal novel of the scientist whose creation becomes a monster<br/><br/>This edition is the original 1818 text, which preserves the hard-hitting and politically charged aspects of Shelley's original writing, as well as her unflinching wit and strong female voice. This edition also includes a new introduction and suggestions for further reading by author and Shelley expert Charlotte Gordon, literary excerpts and reviews selected by Gordon and a chronology and essay by preeminent Shelley scholar Charles E. Robinson.</span>
  <a data-text-id=""2241298152877135051"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
6,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3025763313287571269"">It is the story of four seekers who arrive at a notoriously unfriendly pile called Hill House: Dr. Montague, an occult scholar looking for solid evidence of a ""haunting""; Theodora, the lighthearted assistant; Eleanor, a friendless, fragile young woman well acquainted with poltergeists; and Luke, the future heir of Hill House. At first, their stay seems destined to be merel</span>
  <span id=""freeText3025763313287571269"" style=""display:none"">It is the story of four seekers who arrive at a notoriously unfriendly pile called Hill House: Dr. Montague, an occult scholar looking for solid evidence of a ""haunting""; Theodora, the lighthearted assistant; Eleanor, a friendless, fragile young woman well acquainted with poltergeists; and Luke, the future heir of Hill House. At first, their stay seems destined to be merely a spooky encounter with inexplicable phenomena. But Hill House is gathering its powers—and soon it will choose one of them to make its own.</span>
  <a data-text-id=""3025763313287571269"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
7,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer7047552534291818942""><i>Librarian's Note: Alternate-cover edition for ISBN <a href=""https://www.goodreads.com/book/show/9668519-salem-s-lot"">0450031063</a></i><br/><br/>Thousands of miles away from the small township of 'Salem's Lot, two terrified people, a man and a boy, still share the secrets of those clapboard houses and tree-lined streets. They must return to 'Salem's Lot for a final confrontation with the unspeakable evil that lives on in the town.</span>
  <span id=""freeText7047552534291818942"" style=""display:none""><i>Librarian's Note: Alternate-cover edition for ISBN <a href=""https://www.goodreads.com/book/show/9668519-salem-s-lot"">0450031063</a></i><br/><br/>Thousands of miles away from the small township of 'Salem's Lot, two terrified people, a man and a boy, still share the secrets of those clapboard houses and tree-lined streets. They must return to 'Salem's Lot for a final confrontation with the unspeakable evil that lives on in the town.</span>
  <a data-text-id=""7047552534291818942"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
8,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer1218131361710067088""><i>Alternate cover editions <a href=""https://www.goodreads.com/book/show/26870588-misery"">here</a> and <a href=""https://www.goodreads.com/book/show/44589581-misery"">here</a></i>.<br/><br/>Paul Sheldon. He's a bestselling novelist who has finally met his biggest fan. Her name is Annie Wilkes and she is more than a rabid reader - she is Paul's nurse, tending his shattered body after an automobile accident. But she is also his captor, keeping him prisoner in her isolated house.</span>
  <span id=""freeText1218131361710067088"" style=""display:none""><i>Alternate cover editions <a href=""https://www.goodreads.com/book/show/26870588-misery"">here</a> and <a href=""https://www.goodreads.com/book/show/44589581-misery"">here</a></i>.<br/><br/>Paul Sheldon. He's a bestselling novelist who has finally met his biggest fan. Her name is Annie Wilkes and she is more than a rabid reader - she is Paul's nurse, tending his shattered body after an automobile accident. But she is also his captor, keeping him prisoner in her isolated house.</span>
  <a data-text-id=""1218131361710067088"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
9,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13716846918441030843"">Stephen King's apocalyptic vision of a world blasted by plague and tangled in an elemental struggle between good and evil remains as riveting and eerily plausible as when it was first published.<br/><br/>A patient escapes from a biological testing facility, unknowingly carrying a deadly weapon: a mutated strain of super-flu that will wipe out 99 percent of the world's population wit</span>
  <span id=""freeText13716846918441030843"" style=""display:none"">Stephen King's apocalyptic vision of a world blasted by plague and tangled in an elemental struggle between good and evil remains as riveting and eerily plausible as when it was first published.<br/><br/>A patient escapes from a biological testing facility, unknowingly carrying a deadly weapon: a mutated strain of super-flu that will wipe out 99 percent of the world's population within a few weeks. Those who remain are scared, bewildered, and in need of a leader. Two emerge - Mother Abagail, the benevolent 108-year-old woman who urges them to build a peaceful community in Boulder, Colorado; and Randall Flagg, the nefarious ""Dark Man,"" who delights in chaos and violence. As the dark man and the peaceful woman gather power, the survivors will have to choose between them - and ultimately decide the fate of all humanity.</span>
  <a data-text-id=""13716846918441030843"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
10,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer2613855614931930784"">After receiving a frantic letter from her newly-wed cousin begging for someone to save her from a mysterious doom, Noemí Taboada heads to High Place, a distant house in the Mexican countryside. She’s not sure what she will find—her cousin’s husband, a handsome Englishman, is a stranger, and Noemí knows little about the region. <br/> <br/>Noemí is also an unlikely rescuer: She’s a gl</span>
  <span id=""freeText2613855614931930784"" style=""display:none"">After receiving a frantic letter from her newly-wed cousin begging for someone to save her from a mysterious doom, Noemí Taboada heads to High Place, a distant house in the Mexican countryside. She’s not sure what she will find—her cousin’s husband, a handsome Englishman, is a stranger, and Noemí knows little about the region. <br/> <br/>Noemí is also an unlikely rescuer: She’s a glamorous debutante, and her chic gowns and perfect red lipstick are more suited for cocktail parties than amateur sleuthing. But she’s also tough and smart, with an indomitable will, and she is not afraid: Not of her cousin’s new husband, who is both menacing and alluring; not of his father, the ancient patriarch who seems to be fascinated by Noemí; and not even of the house itself, which begins to invade Noemí’s dreams with visions of blood and doom.<br/> <br/>Her only ally in this inhospitable abode is the family’s youngest son. Shy and gentle, he seems to want to help Noemí, but might also be hiding dark knowledge of his family’s past. For there are many secrets behind the walls of High Place. The family’s once colossal wealth and faded mining empire kept them from prying eyes, but as Noemí digs deeper she unearths stories of violence and madness. <br/> <br/>And Noemí, mesmerized by the terrifying yet seductive world of High Place, may soon find it impossible to ever leave this enigmatic house behind.</span>
  <a data-text-id=""2613855614931930784"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
11,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer7652767415934765291"">A young family moves into a small home on Ash Tree Lane where they discover something is terribly wrong: their house is bigger on the inside than it is on the outside.<br/><br/>Of course, neither Pulitzer Prize-winning photojournalist Will Navidson nor his companion Karen Green was prepared to face the consequences of that impossibility, until the day their two little children wande</span>
  <span id=""freeText7652767415934765291"" style=""display:none"">A young family moves into a small home on Ash Tree Lane where they discover something is terribly wrong: their house is bigger on the inside than it is on the outside.<br/><br/>Of course, neither Pulitzer Prize-winning photojournalist Will Navidson nor his companion Karen Green was prepared to face the consequences of that impossibility, until the day their two little children wandered off and their voices eerily began to return another story—of creature darkness, of an ever-growing abyss behind a closet door, and of that unholy growl which soon enough would tear through their walls and consume all their dreams.</span>
  <a data-text-id=""7652767415934765291"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
