Title,Author,Year,Rating,Readers
Laut Bercerita,Leila S. Chudori,2017,"4.64 avg rating — 10,084 ratings","43
               people read it"
Jakarta Sebelum Pagi,Ziggy Zezsyazeoviennazabrizkie,2016,"4.30 avg rating — 2,662 ratings","40
               people read it"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,"4.47 avg rating — 1,529,750 ratings","40
               people read it"
It Ends with Us,Colleen Hoover,2016,"4.38 avg rating — 1,651,538 ratings","31
               people read it"
The Midnight Library,Matt Haig,2020,"4.03 avg rating — 1,125,589 ratings","29
               people read it"
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,2015,"3.75 avg rating — 142,944 ratings","28
               people read it"
Ugly Love,Colleen Hoover,2014,"4.22 avg rating — 935,216 ratings","27
               people read it"
The Psychology of Money,Morgan Housel,2021,"4.39 avg rating — 77,103 ratings","25
               people read it"
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,2022,"4.23 avg rating — 41,128 ratings","24
               people read it"
The Miracles of the Namiya General Store,Keigo Higashino,2012,"4.45 avg rating — 18,917 ratings","23
               people read it"
Verity,Colleen Hoover,2018,"4.42 avg rating — 1,224,371 ratings","20
               people read it"
Love on the Brain,Ali Hazelwood,2022,"4.06 avg rating — 91,547 ratings","20
               people read it"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,2018,"4.38 avg rating — 464,709 ratings","20
               people read it"
Beauty Is a Wound,Eka Kurniawan,2002,"4.05 avg rating — 12,057 ratings","18
               people read it"
Cursed Bunny,Bora Chung,2017,"3.92 avg rating — 4,791 ratings","18
               people read it"
The Song of Achilles,Madeline Miller,2011,"4.38 avg rating — 952,801 ratings","18
               people read it"
The Alchemist,Paulo Coelho,1988,"3.90 avg rating — 2,635,784 ratings","18
               people read it"
I'm Glad My Mom Died,Jennette McCurdy,2022,"4.66 avg rating — 122,512 ratings","18
               people read it"
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,2022,"4.63 avg rating — 12,941 ratings","17
               people read it"
Pulang,Leila S. Chudori,2012,"4.27 avg rating — 5,842 ratings","17
               people read it"
Gadis Kretek,Ratih Kumala,2012,"4.09 avg rating — 2,396 ratings","16
               people read it"
Tuesdays with Morrie,Mitch Albom,1997,"4.14 avg rating — 912,658 ratings","16
               people read it"
Almond,Sohn Won-Pyung,2017,"4.20 avg rating — 47,508 ratings","16
               people read it"
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,2020,"4.23 avg rating — 268,757 ratings","16
               people read it"
Reminders of Him,Colleen Hoover,2022,"4.52 avg rating — 528,676 ratings","16
               people read it"
Convenience Store Woman,Sayaka Murata,2016,"3.71 avg rating — 173,356 ratings","16
               people read it"
I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,2018,"3.69 avg rating — 7,259 ratings","15
               people read it"
Filosofi Teras,Henry Manampiring,2018,"4.50 avg rating — 5,411 ratings","15
               people read it"
Conversations on Love,Natasha Lunn,2021,"4.38 avg rating — 6,155 ratings","15
               people read it"
Crying in H Mart,Michelle Zauner,2021,"4.30 avg rating — 198,636 ratings","15
               people read it"
Perempuan yang Menangis kepada Bulan Hitam,Dian Purnomo,2020,"4.66 avg rating — 1,296 ratings","15
               people read it"
The Little Prince,Antoine de Saint-Exupéry,1943,"4.32 avg rating — 1,791,744 ratings","15
               people read it"
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,2021,"4.26 avg rating — 139,262 ratings","15
               people read it"
People We Meet on Vacation,Emily Henry,2021,"3.96 avg rating — 661,022 ratings","14
               people read it"
Where the Crawdads Sing,Delia Owens,2018,"4.43 avg rating — 2,127,314 ratings","14
               people read it"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,2019,"4.36 avg rating — 383,882 ratings","14
               people read it"
Maaf Tuhan Aku Hampir Menyerah,alfialghazi,None,"4.34 avg rating — 1,383 ratings","14
               people read it"
"The Poppy War (The Poppy War, #1)",R.F. Kuang,2018,"4.14 avg rating — 137,178 ratings","14
               people read it"
The Love Hypothesis,Ali Hazelwood,2021,"4.29 avg rating — 728,423 ratings","14
               people read it"
Di Tanah Lada,Ziggy Zezsyazeoviennazabrizkie,2015,"4.14 avg rating — 2,955 ratings","13
               people read it"
"Newcomer (Detective Kaga, #2)",Keigo Higashino,2009,"4.05 avg rating — 7,119 ratings","13
               people read it"
Kita Pergi Hari Ini,Ziggy Zezsyazeoviennazabrizkie,None,4.29 avg rating — 930 ratings,"13
               people read it"
Norwegian Wood,Haruki Murakami,1987,"4.03 avg rating — 490,720 ratings","13
               people read it"
The Silent Patient,Alex Michaelides,2019,"4.17 avg rating — 1,201,222 ratings","13
               people read it"
Beach Read,Emily Henry,2020,"4.06 avg rating — 610,103 ratings","12
               people read it"
Book Lovers,Emily Henry,2022,"4.28 avg rating — 395,015 ratings","12
               people read it"
"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,2022,"4.01 avg rating — 25,339 ratings","12
               people read it"
Men Without Women,Haruki Murakami,2014,"3.76 avg rating — 82,422 ratings","12
               people read it"
Progresnya Berapa Persen?,Soraya Nasution,2019,"4.08 avg rating — 1,268 ratings","11
               people read it"
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,2021,"4.15 avg rating — 59,106 ratings","11
               people read it"
