Title,Author,Year,Rating,Raters,Readers
Laut Bercerita,Leila S. Chudori,2017,4.64,10084,43
Jakarta Sebelum Pagi,Ziggy Zezsyazeoviennazabrizkie,2016,4.30,2662,40
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,4.47,529750,40
It Ends with Us,Colleen Hoover,2016,4.38,651538,31
The Midnight Library,Matt Haig,2020,4.03,125589,29
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,2015,3.75,142962,28
Ugly Love,Colleen Hoover,2014,4.22,935216,27
The Psychology of Money,Morgan Housel,2021,4.39,77110,25
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,2022,4.23,41142,24
The Miracles of the Namiya General Store,Keigo Higashino,2012,4.45,18917,23
Verity,Colleen Hoover,2018,4.42,224371,20
Love on the Brain,Ali Hazelwood,2022,4.06,91547,20
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,2018,4.38,464709,20
Beauty Is a Wound,Eka Kurniawan,2002,4.05,12058,18
Cursed Bunny,Bora Chung,2017,3.92,4793,18
The Song of Achilles,Madeline Miller,2011,4.38,952819,18
The Alchemist,Paulo Coelho,1988,3.90,635784,18
I'm Glad My Mom Died,Jennette McCurdy,2022,4.66,122512,18
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,2022,4.63,12948,17
Pulang,Leila S. Chudori,2012,4.27,5842,17
Gadis Kretek,Ratih Kumala,2012,4.09,2396,16
Tuesdays with Morrie,Mitch Albom,1997,4.14,912660,16
Almond,Sohn Won-Pyung,2017,4.20,47510,16
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,2020,4.23,268757,16
Reminders of Him,Colleen Hoover,2022,4.52,528676,16
Convenience Store Woman,Sayaka Murata,2016,3.71,173360,16
I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,2018,3.69,7259,15
Filosofi Teras,Henry Manampiring,2018,4.50,5411,15
Conversations on Love,Natasha Lunn,2021,4.38,6157,15
Crying in H Mart,Michelle Zauner,2021,4.30,198636,15
Perempuan yang Menangis kepada Bulan Hitam,Dian Purnomo,2020,4.66,1296,15
The Little Prince,Antoine de Saint-Exupéry,1943,4.32,791744,15
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,2021,4.26,139262,15
People We Meet on Vacation,Emily Henry,2021,3.96,661022,14
Where the Crawdads Sing,Delia Owens,2018,4.43,127314,14
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,2019,4.36,383882,14
Maaf Tuhan Aku Hampir Menyerah,alfialghazi,None,4.34,1383,14
"The Poppy War (The Poppy War, #1)",R.F. Kuang,2018,4.14,137181,14
The Love Hypothesis,Ali Hazelwood,2021,4.29,728423,14
Di Tanah Lada,Ziggy Zezsyazeoviennazabrizkie,2015,4.14,2955,13
"Newcomer (Detective Kaga, #2)",Keigo Higashino,2009,4.05,7119,13
Kita Pergi Hari Ini,Ziggy Zezsyazeoviennazabrizkie,None,4.29,None,13
Norwegian Wood,Haruki Murakami,1987,4.03,490724,13
The Silent Patient,Alex Michaelides,2019,4.17,201222,13
Beach Read,Emily Henry,2020,4.06,610103,12
Book Lovers,Emily Henry,2022,4.28,395054,12
"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,2022,4.01,25354,12
Men Without Women,Haruki Murakami,2014,3.76,82422,12
Progresnya Berapa Persen?,Soraya Nasution,2019,4.08,1268,11
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,2021,4.15,59106,11
