Title,Author,Year,Rating,Raters
To Kill a Mockingbird (Paperback),Harper Lee,1960,4.27,5489146
1984 (Paperback),George Orwell,1949,4.19,4014982
Pride and Prejudice (Paperback),Jane Austen,1813,4.28,3784309
The Book Thief (Hardcover),Markus Zusak,2006,4.39,2273552
The Fault in Our Stars (Hardcover),John Green,2012,4.16,4562043
The Diary of a Young Girl (Mass Market Paperback),Anne Frank,1947,4.18,3371791
The Great Gatsby (Paperback),F. Scott Fitzgerald,1925,3.93,4650219
The Alchemist (Paperback),Paulo Coelho,1988,3.90,2671832
All the Light We Cannot See (Hardcover),Anthony Doerr,2014,4.32,1370453
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,2017,4.46,1664728
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,1997,4.47,8919843
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,4.32,7673368
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,2005,4.16,2973959
The Girl on the Train (Hardcover),Paula Hawkins,2015,3.95,2619632
Steve Jobs (Hardcover),Walter Isaacson,2011,4.16,1156099
The Catcher in the Rye (Paperback),J.D. Salinger,1951,3.81,3217226
Fahrenheit 451 (Kindle Edition),Ray Bradbury,1953,3.98,2119776
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,1985,4.13,1819165
The Midnight Library (Hardcover),Matt Haig,2020,4.03,1182008
Jane Eyre (Paperback),Charlotte Brontë,1847,4.14,1915419
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,2005,3.63,5961417
Little Women (Paperback),Louisa May Alcott,1868,4.13,2011885
Gone Girl (Paperback),Gillian Flynn,2012,4.11,2771884
The Kite Runner (Paperback),Khaled Hosseini,2003,4.33,2863418
Wuthering Heights (Paperback),Emily Brontë,1847,3.88,1625394
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,2020,4.22,721225
Where the Crawdads Sing (ebook),Delia Owens,2018,4.43,2220318
"Divergent (Divergent, #1)",Veronica Roth,2011,4.16,3578630
Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,2011,4.38,839972
Circe (Hardcover),Madeline Miller,2018,4.25,773521
Anna Karenina (Paperback),Leo Tolstoy,1878,4.08,776947
How to Win Friends and Influence People (Paperback),Dale Carnegie,1936,4.21,846074
The Time Traveler's Wife (ebook),Audrey Niffenegger,2004,3.99,1710399
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,4.28,3520569
The Silent Patient (Hardcover),Alex Michaelides,2019,4.17,1269367
Lord of the Flies (Paperback),William Golding,1954,3.69,2654328
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,4.44,2296959
And Then There Were None (Paperback),Agatha Christie,1939,4.28,1144440
"Dune (Dune, #1)",Frank Herbert,1965,4.25,1144679
The Night Circus (Hardcover),Erin Morgenstern,2011,4.03,859301
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2015,4.20,1206784
Educated (Hardcover),Tara Westover,2018,4.47,1246225
Brave New World (Paperback),Aldous Huxley,1932,3.99,1689843
Eleanor & Park (Hardcover),Rainbow Rowell,2012,3.97,1075819
People We Meet on Vacation (Paperback),Emily Henry,2021,3.95,702918
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,4.23,1692133
"Red Queen (Red Queen, #1)",Victoria Aveyard,2015,4.03,847982
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,2015,4.49,726384
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Paperback),Mark Manson,2016,3.91,865048
The Help (Hardcover),Kathryn Stockett,2009,4.47,2523347
Missing,Missing,0,0,0
Missing,Missing,0,0,0
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,2018,4.08,759753
Les Misérables (Mass Market Paperback),Victor Hugo,1862,4.19,753622
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,4.08,1872204
Crime and Punishment (Paperback),Fyodor Dostoevsky,1866,4.25,783703
"Red, White & Royal Blue (Paperback)",Casey McQuiston,2019,4.15,636264
Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,1969,4.09,1270981
We Were Liars (Kindle Edition),E. Lockhart,2014,3.72,945771
Catch-22 (Paperback),Joseph Heller,1961,3.99,791621
Becoming (Hardcover),Michelle Obama,2018,4.48,891285
Verity (Paperback),Colleen Hoover,2018,4.40,1382062
The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,2012,4.13,451938
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005,4.29,2577877
"The Selection (The Selection, #1)",Kiera Cass,2012,4.10,1326894
A Little Life (Hardcover),Hanya Yanagihara,2015,4.34,401227
