Title,Author,Year,Rating,Raters,Readers
Verity,Colleen Hoover,2018,4.42,1226030,11
I'm Glad My Mom Died,Jennette McCurdy,2022,4.66,123496,10
It Ends with Us,Colleen Hoover,2016,4.38,1653096,8
Carrie Soto Is Back,Taylor Jenkins Reid,2022,4.32,66046,7
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,4.47,1531072,7
Book Lovers,Emily Henry,2022,4.28,395773,6
Reminders of Him,Colleen Hoover,2022,4.52,529483,6
Lessons in Chemistry,Bonnie Garmus,2022,4.39,150985,5
Ugly Love,Colleen Hoover,2014,4.22,936156,5
Where the Crawdads Sing,Delia Owens,2018,4.43,2128228,5
Love on the Brain,Ali Hazelwood,2022,4.06,92175,5
The Perfect Marriage,Jeneva Rose,2020,4.05,116816,5
Fairy Tale,Stephen King,2022,4.34,22103,5
The Housemaid,Freida McFadden,2022,4.38,66386,4
"Things We Never Got Over (Knockemout, #1)",Lucy Score,2022,4.29,178590,4
November 9,Colleen Hoover,2015,4.29,536498,4
Every Summer After,Carley Fortune,2022,4.34,152758,4
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2015,4.19,1145238,4
The Silent Patient,Alex Michaelides,2019,4.17,1201862,3
The Last Thing He Told Me,Laura Dave,2021,3.88,545060,3
"Icebreaker (UCMH, #1)",Hannah Grace,None,4.28,20999,3
The Paris Apartment,Lucy Foley,2022,3.69,203775,3
The It Girl,Ruth Ware,2022,3.90,54369,3
Daisy Darker,Alice Feeney,2022,3.93,30527,3
All Good People Here,Ashley Flowers,2022,4.00,27744,3
The Love Hypothesis,Ali Hazelwood,2021,4.29,729078,3
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,2016,4.62,819740,3
Malibu Rising,Taylor Jenkins Reid,2021,4.09,598747,3
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,2022,4.37,46952,3
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,2022,4.23,41477,3
People We Meet on Vacation,Emily Henry,2021,3.96,661439,3
The Midnight Library,Matt Haig,2020,4.03,1126092,3
Wrong Place Wrong Time,Gillian McAllister,2022,4.17,33735,3
Daisy Jones & The Six,Taylor Jenkins Reid,2019,4.24,743546,3
Regretting You,Colleen Hoover,2019,4.22,289437,3
Beach Read,Emily Henry,2020,4.06,610508,2
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,2017,4.43,657478,2
Layla,Colleen Hoover,2020,3.75,200812,2
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,2021,4.41,382793,2
The Invisible Life of Addie LaRue,V.E. Schwab,2020,4.22,689029,2
Never Lie,Freida McFadden,2022,4.44,5422,2
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,2021,4.07,257373,2
The Maid,Nita Prose,2022,3.85,200209,2
"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,2022,4.56,13979,2
One True Loves,Taylor Jenkins Reid,2016,4.10,165871,2
The Hotel Nantucket,Elin Hilderbrand,2022,4.18,72208,2
The Last Mrs. Parrish,Liv Constantine,2017,3.97,231736,2
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,2019,4.36,384317,2
All Your Perfects,Colleen Hoover,2018,4.23,284790,2
"The Golden Enclaves (The Scholomance, #3)",Naomi Novik,2022,4.38,7521,2
