Title,Author,Year,Rating,Raters
The Shining (Paperback),Stephen King,"
                avg rating 4.25 —
                1,328,787 ratings  —
                published 1977
              ","
                avg rating 4.25 —
                1,328,787 ratings  —
                published 1977
              ","
                avg rating 4.25 —
                1,328,787 ratings  —
                published 1977
              "
It (Paperback),Stephen King,"
                avg rating 4.25 —
                976,888 ratings  —
                published 1986
              ","
                avg rating 4.25 —
                976,888 ratings  —
                published 1986
              ","
                avg rating 4.25 —
                976,888 ratings  —
                published 1986
              "
Dracula (Paperback),Bram Stoker,"
                avg rating 4.01 —
                1,116,539 ratings  —
                published 1897
              ","
                avg rating 4.01 —
                1,116,539 ratings  —
                published 1897
              ","
                avg rating 4.01 —
                1,116,539 ratings  —
                published 1897
              "
Carrie (Mass Market Paperback),Stephen King,"
                avg rating 3.98 —
                628,606 ratings  —
                published 1974
              ","
                avg rating 3.98 —
                628,606 ratings  —
                published 1974
              ","
                avg rating 3.98 —
                628,606 ratings  —
                published 1974
              "
Pet Sematary (Kindle Edition),Stephen King,"
                avg rating 4.04 —
                514,647 ratings  —
                published 1983
              ","
                avg rating 4.04 —
                514,647 ratings  —
                published 1983
              ","
                avg rating 4.04 —
                514,647 ratings  —
                published 1983
              "
Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,"
                avg rating 3.84 —
                1,390,465 ratings  —
                published 1818
              ","
                avg rating 3.84 —
                1,390,465 ratings  —
                published 1818
              ","
                avg rating 3.84 —
                1,390,465 ratings  —
                published 1818
              "
The Haunting of Hill House (Paperback),Shirley Jackson,"
                avg rating 3.83 —
                234,724 ratings  —
                published 1959
              ","
                avg rating 3.83 —
                234,724 ratings  —
                published 1959
              ","
                avg rating 3.83 —
                234,724 ratings  —
                published 1959
              "
'Salem's Lot (Paperback),Stephen King,"
                avg rating 4.05 —
                397,452 ratings  —
                published 1975
              ","
                avg rating 4.05 —
                397,452 ratings  —
                published 1975
              ","
                avg rating 4.05 —
                397,452 ratings  —
                published 1975
              "
The Stand (Hardcover),Stephen King,"
                avg rating 4.34 —
                702,367 ratings  —
                published 1978
              ","
                avg rating 4.34 —
                702,367 ratings  —
                published 1978
              ","
                avg rating 4.34 —
                702,367 ratings  —
                published 1978
              "
Misery (Paperback),Stephen King,"
                avg rating 4.20 —
                605,789 ratings  —
                published 1987
              ","
                avg rating 4.20 —
                605,789 ratings  —
                published 1987
              ","
                avg rating 4.20 —
                605,789 ratings  —
                published 1987
              "
Mexican Gothic (Hardcover),Silvia Moreno-Garcia,"
                avg rating 3.68 —
                257,504 ratings  —
                published 2020
              ","
                avg rating 3.68 —
                257,504 ratings  —
                published 2020
              ","
                avg rating 3.68 —
                257,504 ratings  —
                published 2020
              "
House of Leaves (Paperback),Mark Z. Danielewski,"
                avg rating 4.08 —
                151,788 ratings  —
                published 2000
              ","
                avg rating 4.08 —
                151,788 ratings  —
                published 2000
              ","
                avg rating 4.08 —
                151,788 ratings  —
                published 2000
              "
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"
                avg rating 4.01 —
                540,176 ratings  —
                published 1976
              ","
                avg rating 4.01 —
                540,176 ratings  —
                published 1976
              ","
                avg rating 4.01 —
                540,176 ratings  —
                published 1976
              "
Doctor Sleep (Hardcover),Stephen King,"
                avg rating 4.12 —
                233,264 ratings  —
                published 2013
              ","
                avg rating 4.12 —
                233,264 ratings  —
                published 2013
              ","
                avg rating 4.12 —
                233,264 ratings  —
                published 2013
              "
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,"
                avg rating 4.01 —
                489,917 ratings  —
                published 2006
              ","
                avg rating 4.01 —
                489,917 ratings  —
                published 2006
              ","
                avg rating 4.01 —
                489,917 ratings  —
                published 2006
              "
We Have Always Lived in the Castle (Paperback),Shirley Jackson,"
                avg rating 3.96 —
                170,148 ratings  —
                published 1962
              ","
                avg rating 3.96 —
                170,148 ratings  —
                published 1962
              ","
                avg rating 3.96 —
                170,148 ratings  —
                published 1962
              "
Cujo (Paperback),Stephen King,"
                avg rating 3.76 —
                258,585 ratings  —
                published 1981
              ","
                avg rating 3.76 —
                258,585 ratings  —
                published 1981
              ","
                avg rating 3.76 —
                258,585 ratings  —
                published 1981
              "
NOS4A2 (Hardcover),Joe Hill,"
                avg rating 4.08 —
                116,652 ratings  —
                published 2013
              ","
                avg rating 4.08 —
                116,652 ratings  —
                published 2013
              ","
                avg rating 4.08 —
                116,652 ratings  —
                published 2013
              "
"Bird Box (Bird Box, #1)",Josh Malerman,"
                avg rating 4.04 —
                170,380 ratings  —
                published 2014
              ","
                avg rating 4.04 —
                170,380 ratings  —
                published 2014
              ","
                avg rating 4.04 —
                170,380 ratings  —
                published 2014
              "
The Exorcist (Mass Market Paperback),William Peter Blatty,"
                avg rating 4.19 —
                209,762 ratings  —
                published 1971
              ","
                avg rating 4.19 —
                209,762 ratings  —
                published 1971
              ","
                avg rating 4.19 —
                209,762 ratings  —
                published 1971
              "
Heart-Shaped Box (Hardcover),Joe Hill,"
                avg rating 3.85 —
                123,431 ratings  —
                published 2007
              ","
                avg rating 3.85 —
                123,431 ratings  —
                published 2007
              ","
                avg rating 3.85 —
                123,431 ratings  —
                published 2007
              "
Coraline (Paperback),Neil Gaiman,"
                avg rating 4.09 —
                596,405 ratings  —
                published 2002
              ","
                avg rating 4.09 —
                596,405 ratings  —
                published 2002
              ","
                avg rating 4.09 —
                596,405 ratings  —
                published 2002
              "
Needful Things (Paperback),Stephen King,"
                avg rating 3.95 —
                232,561 ratings  —
                published 1991
              ","
                avg rating 3.95 —
                232,561 ratings  —
                published 1991
              ","
                avg rating 3.95 —
                232,561 ratings  —
                published 1991
              "
Christine (Paperback),Stephen King,"
                avg rating 3.82 —
                223,762 ratings  —
                published 1983
              ","
                avg rating 3.82 —
                223,762 ratings  —
                published 1983
              ","
                avg rating 3.82 —
                223,762 ratings  —
                published 1983
              "
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,"
                avg rating 3.83 —
                489,500 ratings  —
                published 1886
              ","
                avg rating 3.83 —
                489,500 ratings  —
                published 1886
              ","
                avg rating 3.83 —
                489,500 ratings  —
                published 1886
              "
Let the Right One In (Hardcover),John Ajvide Lindqvist,"
                avg rating 4.04 —
                102,368 ratings  —
                published 2004
              ","
                avg rating 4.04 —
                102,368 ratings  —
                published 2004
              ","
                avg rating 4.04 —
                102,368 ratings  —
                published 2004
              "
Night Shift (Paperback),Stephen King,"
                avg rating 4.02 —
                165,399 ratings  —
                published 1978
              ","
                avg rating 4.02 —
                165,399 ratings  —
                published 1978
              ","
                avg rating 4.02 —
                165,399 ratings  —
                published 1978
              "
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,"
                avg rating 3.83 —
                139,883 ratings  —
                published 2020
              ","
                avg rating 3.83 —
                139,883 ratings  —
                published 2020
              ","
                avg rating 3.83 —
                139,883 ratings  —
                published 2020
              "
The Only Good Indians (Hardcover),Stephen Graham Jones,"
                avg rating 3.73 —
                52,994 ratings  —
                published 2020
              ","
                avg rating 3.73 —
                52,994 ratings  —
                published 2020
              ","
                avg rating 3.73 —
                52,994 ratings  —
                published 2020
              "
The Outsider (Hardcover),Stephen King,"
                avg rating 3.99 —
                249,945 ratings  —
                published 2018
              ","
                avg rating 3.99 —
                249,945 ratings  —
                published 2018
              ","
                avg rating 3.99 —
                249,945 ratings  —
                published 2018
              "
"Rosemary's Baby (Rosemary's Baby, #1)",Ira Levin,"
                avg rating 4.02 —
                127,101 ratings  —
                published 1967
              ","
                avg rating 4.02 —
                127,101 ratings  —
                published 1967
              ","
                avg rating 4.02 —
                127,101 ratings  —
                published 1967
              "
Firestarter (Mass Market Paperback),Stephen King,"
                avg rating 3.90 —
                211,808 ratings  —
                published 1980
              ","
                avg rating 3.90 —
                211,808 ratings  —
                published 1980
              ","
                avg rating 3.90 —
                211,808 ratings  —
                published 1980
              "
A Head Full of Ghosts (Hardcover),Paul Tremblay,"
                avg rating 3.80 —
                65,164 ratings  —
                published 2015
              ","
                avg rating 3.80 —
                65,164 ratings  —
                published 2015
              ","
                avg rating 3.80 —
                65,164 ratings  —
                published 2015
              "
The Dead Zone (Mass Market Paperback),Stephen King,"
                avg rating 3.95 —
                206,107 ratings  —
                published 1979
              ","
                avg rating 3.95 —
                206,107 ratings  —
                published 1979
              ","
                avg rating 3.95 —
                206,107 ratings  —
                published 1979
              "
Cell (Mass Market Paperback),Stephen King,"
                avg rating 3.66 —
                210,983 ratings  —
                published 2006
              ","
                avg rating 3.66 —
                210,983 ratings  —
                published 2006
              ","
                avg rating 3.66 —
                210,983 ratings  —
                published 2006
              "
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"
                avg rating 4.23 —
                518,516 ratings  —
                published 1988
              ","
                avg rating 4.23 —
                518,516 ratings  —
                published 1988
              ","
                avg rating 4.23 —
                518,516 ratings  —
                published 1988
              "
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,"
                avg rating 3.95 —
                210,656 ratings  —
                published 2014
              ","
                avg rating 3.95 —
                210,656 ratings  —
                published 2014
              ","
                avg rating 3.95 —
                210,656 ratings  —
                published 2014
              "
Horrorstör (Paperback),Grady Hendrix,"
                avg rating 3.66 —
                59,651 ratings  —
                published 2014
              ","
                avg rating 3.66 —
                59,651 ratings  —
                published 2014
              ","
                avg rating 3.66 —
                59,651 ratings  —
                published 2014
              "
Horns (Hardcover),Joe Hill,"
                avg rating 3.93 —
                108,834 ratings  —
                published 2009
              ","
                avg rating 3.93 —
                108,834 ratings  —
                published 2009
              ","
                avg rating 3.93 —
                108,834 ratings  —
                published 2009
              "
The Picture of Dorian Gray (Paperback),Oscar Wilde,"
                avg rating 4.11 —
                1,267,530 ratings  —
                published 1890
              ","
                avg rating 4.11 —
                1,267,530 ratings  —
                published 1890
              ","
                avg rating 4.11 —
                1,267,530 ratings  —
                published 1890
              "
My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,"
                avg rating 3.98 —
                66,485 ratings  —
                published 2016
              ","
                avg rating 3.98 —
                66,485 ratings  —
                published 2016
              ","
                avg rating 3.98 —
                66,485 ratings  —
                published 2016
              "
The Troop (Hardcover),Nick Cutter,"
                avg rating 3.82 —
                51,351 ratings  —
                published 2014
              ","
                avg rating 3.82 —
                51,351 ratings  —
                published 2014
              ","
                avg rating 3.82 —
                51,351 ratings  —
                published 2014
              "
The Turn of the Screw (Paperback),Henry James,"
                avg rating 3.40 —
                134,855 ratings  —
                published 1898
              ","
                avg rating 3.40 —
                134,855 ratings  —
                published 1898
              ","
                avg rating 3.40 —
                134,855 ratings  —
                published 1898
              "
"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,"
                avg rating 3.92 —
                117,147 ratings  —
                published 1962
              ","
                avg rating 3.92 —
                117,147 ratings  —
                published 1962
              ","
                avg rating 3.92 —
                117,147 ratings  —
                published 1962
              "
Bag of Bones (Paperback),Stephen King,"
                avg rating 3.91 —
                187,432 ratings  —
                published 1998
              ","
                avg rating 3.91 —
                187,432 ratings  —
                published 1998
              ","
                avg rating 3.91 —
                187,432 ratings  —
                published 1998
              "
The Tommyknockers (Mass Market Paperback),Stephen King,"
                avg rating 3.58 —
                140,399 ratings  —
                published 1987
              ","
                avg rating 3.58 —
                140,399 ratings  —
                published 1987
              ","
                avg rating 3.58 —
                140,399 ratings  —
                published 1987
              "
Thinner (Mass Market Paperback),Richard Bachman,"
                avg rating 3.75 —
                194,813 ratings  —
                published 1984
              ","
                avg rating 3.75 —
                194,813 ratings  —
                published 1984
              ","
                avg rating 3.75 —
                194,813 ratings  —
                published 1984
              "
Under the Dome (Hardcover),Stephen King,"
                avg rating 3.91 —
                281,956 ratings  —
                published 2009
              ","
                avg rating 3.91 —
                281,956 ratings  —
                published 2009
              ","
                avg rating 3.91 —
                281,956 ratings  —
                published 2009
              "
The Dark Half (Paperback),Stephen King,"
                avg rating 3.80 —
                134,216 ratings  —
                published 1989
              ","
                avg rating 3.80 —
                134,216 ratings  —
                published 1989
              ","
                avg rating 3.80 —
                134,216 ratings  —
                published 1989
              "
Skeleton Crew (Paperback),Stephen King,"
                avg rating 3.97 —
                118,205 ratings  —
                published 1985
              ","
                avg rating 3.97 —
                118,205 ratings  —
                published 1985
              ","
                avg rating 3.97 —
                118,205 ratings  —
                published 1985
              "
,,,,
,,,,
The Shining (Paperback),Stephen King,"
                avg rating 4.25 —
                1,328,787 ratings  —
                published 1977
              ","
                avg rating 4.25 —
                1,328,787 ratings  —
                published 1977
              ","
                avg rating 4.25 —
                1,328,787 ratings  —
                published 1977
              "
It (Paperback),Stephen King,"
                avg rating 4.25 —
                976,888 ratings  —
                published 1986
              ","
                avg rating 4.25 —
                976,888 ratings  —
                published 1986
              ","
                avg rating 4.25 —
                976,888 ratings  —
                published 1986
              "
Dracula (Paperback),Bram Stoker,"
                avg rating 4.01 —
                1,116,539 ratings  —
                published 1897
              ","
                avg rating 4.01 —
                1,116,539 ratings  —
                published 1897
              ","
                avg rating 4.01 —
                1,116,539 ratings  —
                published 1897
              "
Carrie (Mass Market Paperback),Stephen King,"
                avg rating 3.98 —
                628,606 ratings  —
                published 1974
              ","
                avg rating 3.98 —
                628,606 ratings  —
                published 1974
              ","
                avg rating 3.98 —
                628,606 ratings  —
                published 1974
              "
Pet Sematary (Kindle Edition),Stephen King,"
                avg rating 4.04 —
                514,647 ratings  —
                published 1983
              ","
                avg rating 4.04 —
                514,647 ratings  —
                published 1983
              ","
                avg rating 4.04 —
                514,647 ratings  —
                published 1983
              "
Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,"
                avg rating 3.84 —
                1,390,465 ratings  —
                published 1818
              ","
                avg rating 3.84 —
                1,390,465 ratings  —
                published 1818
              ","
                avg rating 3.84 —
                1,390,465 ratings  —
                published 1818
              "
The Haunting of Hill House (Paperback),Shirley Jackson,"
                avg rating 3.83 —
                234,724 ratings  —
                published 1959
              ","
                avg rating 3.83 —
                234,724 ratings  —
                published 1959
              ","
                avg rating 3.83 —
                234,724 ratings  —
                published 1959
              "
'Salem's Lot (Paperback),Stephen King,"
                avg rating 4.05 —
                397,452 ratings  —
                published 1975
              ","
                avg rating 4.05 —
                397,452 ratings  —
                published 1975
              ","
                avg rating 4.05 —
                397,452 ratings  —
                published 1975
              "
The Stand (Hardcover),Stephen King,"
                avg rating 4.34 —
                702,367 ratings  —
                published 1978
              ","
                avg rating 4.34 —
                702,367 ratings  —
                published 1978
              ","
                avg rating 4.34 —
                702,367 ratings  —
                published 1978
              "
Misery (Paperback),Stephen King,"
                avg rating 4.20 —
                605,789 ratings  —
                published 1987
              ","
                avg rating 4.20 —
                605,789 ratings  —
                published 1987
              ","
                avg rating 4.20 —
                605,789 ratings  —
                published 1987
              "
Mexican Gothic (Hardcover),Silvia Moreno-Garcia,"
                avg rating 3.68 —
                257,504 ratings  —
                published 2020
              ","
                avg rating 3.68 —
                257,504 ratings  —
                published 2020
              ","
                avg rating 3.68 —
                257,504 ratings  —
                published 2020
              "
House of Leaves (Paperback),Mark Z. Danielewski,"
                avg rating 4.08 —
                151,788 ratings  —
                published 2000
              ","
                avg rating 4.08 —
                151,788 ratings  —
                published 2000
              ","
                avg rating 4.08 —
                151,788 ratings  —
                published 2000
              "
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"
                avg rating 4.01 —
                540,176 ratings  —
                published 1976
              ","
                avg rating 4.01 —
                540,176 ratings  —
                published 1976
              ","
                avg rating 4.01 —
                540,176 ratings  —
                published 1976
              "
Doctor Sleep (Hardcover),Stephen King,"
                avg rating 4.12 —
                233,264 ratings  —
                published 2013
              ","
                avg rating 4.12 —
                233,264 ratings  —
                published 2013
              ","
                avg rating 4.12 —
                233,264 ratings  —
                published 2013
              "
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,"
                avg rating 4.01 —
                489,917 ratings  —
                published 2006
              ","
                avg rating 4.01 —
                489,917 ratings  —
                published 2006
              ","
                avg rating 4.01 —
                489,917 ratings  —
                published 2006
              "
We Have Always Lived in the Castle (Paperback),Shirley Jackson,"
                avg rating 3.96 —
                170,148 ratings  —
                published 1962
              ","
                avg rating 3.96 —
                170,148 ratings  —
                published 1962
              ","
                avg rating 3.96 —
                170,148 ratings  —
                published 1962
              "
Cujo (Paperback),Stephen King,"
                avg rating 3.76 —
                258,585 ratings  —
                published 1981
              ","
                avg rating 3.76 —
                258,585 ratings  —
                published 1981
              ","
                avg rating 3.76 —
                258,585 ratings  —
                published 1981
              "
NOS4A2 (Hardcover),Joe Hill,"
                avg rating 4.08 —
                116,652 ratings  —
                published 2013
              ","
                avg rating 4.08 —
                116,652 ratings  —
                published 2013
              ","
                avg rating 4.08 —
                116,652 ratings  —
                published 2013
              "
"Bird Box (Bird Box, #1)",Josh Malerman,"
                avg rating 4.04 —
                170,380 ratings  —
                published 2014
              ","
                avg rating 4.04 —
                170,380 ratings  —
                published 2014
              ","
                avg rating 4.04 —
                170,380 ratings  —
                published 2014
              "
The Exorcist (Mass Market Paperback),William Peter Blatty,"
                avg rating 4.19 —
                209,762 ratings  —
                published 1971
              ","
                avg rating 4.19 —
                209,762 ratings  —
                published 1971
              ","
                avg rating 4.19 —
                209,762 ratings  —
                published 1971
              "
Heart-Shaped Box (Hardcover),Joe Hill,"
                avg rating 3.85 —
                123,431 ratings  —
                published 2007
              ","
                avg rating 3.85 —
                123,431 ratings  —
                published 2007
              ","
                avg rating 3.85 —
                123,431 ratings  —
                published 2007
              "
Coraline (Paperback),Neil Gaiman,"
                avg rating 4.09 —
                596,405 ratings  —
                published 2002
              ","
                avg rating 4.09 —
                596,405 ratings  —
                published 2002
              ","
                avg rating 4.09 —
                596,405 ratings  —
                published 2002
              "
Needful Things (Paperback),Stephen King,"
                avg rating 3.95 —
                232,561 ratings  —
                published 1991
              ","
                avg rating 3.95 —
                232,561 ratings  —
                published 1991
              ","
                avg rating 3.95 —
                232,561 ratings  —
                published 1991
              "
Christine (Paperback),Stephen King,"
                avg rating 3.82 —
                223,762 ratings  —
                published 1983
              ","
                avg rating 3.82 —
                223,762 ratings  —
                published 1983
              ","
                avg rating 3.82 —
                223,762 ratings  —
                published 1983
              "
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,"
                avg rating 3.83 —
                489,500 ratings  —
                published 1886
              ","
                avg rating 3.83 —
                489,500 ratings  —
                published 1886
              ","
                avg rating 3.83 —
                489,500 ratings  —
                published 1886
              "
Let the Right One In (Hardcover),John Ajvide Lindqvist,"
                avg rating 4.04 —
                102,368 ratings  —
                published 2004
              ","
                avg rating 4.04 —
                102,368 ratings  —
                published 2004
              ","
                avg rating 4.04 —
                102,368 ratings  —
                published 2004
              "
Night Shift (Paperback),Stephen King,"
                avg rating 4.02 —
                165,399 ratings  —
                published 1978
              ","
                avg rating 4.02 —
                165,399 ratings  —
                published 1978
              ","
                avg rating 4.02 —
                165,399 ratings  —
                published 1978
              "
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,"
                avg rating 3.83 —
                139,883 ratings  —
                published 2020
              ","
                avg rating 3.83 —
                139,883 ratings  —
                published 2020
              ","
                avg rating 3.83 —
                139,883 ratings  —
                published 2020
              "
The Only Good Indians (Hardcover),Stephen Graham Jones,"
                avg rating 3.73 —
                52,994 ratings  —
                published 2020
              ","
                avg rating 3.73 —
                52,994 ratings  —
                published 2020
              ","
                avg rating 3.73 —
                52,994 ratings  —
                published 2020
              "
The Outsider (Hardcover),Stephen King,"
                avg rating 3.99 —
                249,945 ratings  —
                published 2018
              ","
                avg rating 3.99 —
                249,945 ratings  —
                published 2018
              ","
                avg rating 3.99 —
                249,945 ratings  —
                published 2018
              "
