Title,Author,Year,Rating,Readers
Laut Bercerita,Leila S. Chudori,2017,4.64,"43
               people read it"
Jakarta Sebelum Pagi,Ziggy Zezsyazeoviennazabrizkie,2016,4.30,"40
               people read it"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,4.47,"40
               people read it"
It Ends with Us,Colleen Hoover,2016,4.38,"31
               people read it"
The Midnight Library,Matt Haig,2020,4.03,"29
               people read it"
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,2015,3.75,"28
               people read it"
Ugly Love,Colleen Hoover,2014,4.22,"27
               people read it"
The Psychology of Money,Morgan Housel,2021,4.39,"25
               people read it"
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,2022,4.23,"24
               people read it"
The Miracles of the Namiya General Store,Keigo Higashino,2012,4.45,"23
               people read it"
Verity,Colleen Hoover,2018,4.42,"20
               people read it"
Love on the Brain,Ali Hazelwood,2022,4.06,"20
               people read it"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,2018,4.38,"20
               people read it"
Beauty Is a Wound,Eka Kurniawan,2002,4.05,"18
               people read it"
Cursed Bunny,Bora Chung,2017,3.92,"18
               people read it"
The Song of Achilles,Madeline Miller,2011,4.38,"18
               people read it"
The Alchemist,Paulo Coelho,1988,3.90,"18
               people read it"
I'm Glad My Mom Died,Jennette McCurdy,2022,4.66,"18
               people read it"
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,2022,4.63,"17
               people read it"
Pulang,Leila S. Chudori,2012,4.27,"17
               people read it"
Gadis Kretek,Ratih Kumala,2012,4.09,"16
               people read it"
Tuesdays with Morrie,Mitch Albom,1997,4.14,"16
               people read it"
Almond,Sohn Won-Pyung,2017,4.20,"16
               people read it"
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,2020,4.23,"16
               people read it"
Reminders of Him,Colleen Hoover,2022,4.52,"16
               people read it"
Convenience Store Woman,Sayaka Murata,2016,3.71,"16
               people read it"
I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,2018,3.69,"15
               people read it"
Filosofi Teras,Henry Manampiring,2018,4.50,"15
               people read it"
Conversations on Love,Natasha Lunn,2021,4.38,"15
               people read it"
Crying in H Mart,Michelle Zauner,2021,4.30,"15
               people read it"
Perempuan yang Menangis kepada Bulan Hitam,Dian Purnomo,2020,4.66,"15
               people read it"
The Little Prince,Antoine de Saint-Exupéry,1943,4.32,"15
               people read it"
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,2021,4.26,"15
               people read it"
People We Meet on Vacation,Emily Henry,2021,3.96,"14
               people read it"
Where the Crawdads Sing,Delia Owens,2018,4.43,"14
               people read it"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,2019,4.36,"14
               people read it"
Maaf Tuhan Aku Hampir Menyerah,alfialghazi,None,4.34,"14
               people read it"
"The Poppy War (The Poppy War, #1)",R.F. Kuang,2018,4.14,"14
               people read it"
The Love Hypothesis,Ali Hazelwood,2021,4.29,"14
               people read it"
Di Tanah Lada,Ziggy Zezsyazeoviennazabrizkie,2015,4.14,"13
               people read it"
"Newcomer (Detective Kaga, #2)",Keigo Higashino,2009,4.05,"13
               people read it"
Kita Pergi Hari Ini,Ziggy Zezsyazeoviennazabrizkie,None,4.29,"13
               people read it"
Norwegian Wood,Haruki Murakami,1987,4.03,"13
               people read it"
The Silent Patient,Alex Michaelides,2019,4.17,"13
               people read it"
Beach Read,Emily Henry,2020,4.06,"12
               people read it"
Book Lovers,Emily Henry,2022,4.28,"12
               people read it"
"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,2022,4.01,"12
               people read it"
Men Without Women,Haruki Murakami,2014,3.76,"12
               people read it"
Progresnya Berapa Persen?,Soraya Nasution,2019,4.08,"11
               people read it"
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,2021,4.15,"11
               people read it"
