,Title,Author,Author Average Rating,Author Votes,Author Review Count,Distinct Works,Year,Rating,Raters,Genres,worth_reading
0,To Kill a Mockingbird (Paperback),Harper Lee,4.23,"5,795,640","139,969",50,1960,4.27,5510092,"Classics,Fiction,Historical,Academic,Literature,Young Adult,Historical,Academic,Novels,Young Adult",yes
1,1984 (Paperback),George Orwell,4.1,"8,007,938","201,434",729,1949,4.19,4034352,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Politics,Academic,Fantasy,Adult",yes
2,Pride and Prejudice (Paperback),Jane Austen,4.14,"7,410,567","236,940","2,081",1813,4.28,3800710,"Classics,Fiction,Romance,Historical,Literature,Historical,Novels,Audiobook,Romance,Adult",yes
3,The Book Thief (Hardcover),Markus Zusak,4.35,"2,492,083","155,646",25,2006,4.39,2283079,"Historical,Fiction,Young Adult,Historical,Classics,War,World War II,War,Writing,Audiobook",yes
4,The Fault in Our Stars (Hardcover),John Green,4.0,"8,873,561","413,746",46,2012,4.16,4583660,"Young Adult,Romance,Fiction,Contemporary,Realistic Fiction,Young Adult,Young Adult,Novels,Drama,Love",yes
5,The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.18,"3,446,416","39,176",71,1947,4.18,3383697,"Classics,Nonfiction,History,Biography,Autobiography,Historical,World War II,Biography,War,War",yes
6,The Great Gatsby (Paperback),F. Scott Fitzgerald,3.91,"5,107,397","118,138","1,273",1925,3.93,4669649,"Classics,Fiction,Academic,Historical,Literature,Romance,Novels,Academic,Young Adult,Literature",yes
7,The Alchemist (Paperback),Paulo Coelho,3.8,"3,889,259","172,390",225,1988,3.9,2684062,"Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Self Help,Literature,Adventure,Inspirational",yes
8,All the Light We Cannot See (Hardcover),Anthony Doerr,4.3,"1,567,798","118,309",47,2014,4.32,1377724,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Cultural,Book Club,Literary Fiction",yes
9,The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.27,"3,847,577","430,281",19,2017,4.46,1707879,"Fiction,Historical,Romance,LGBT,Contemporary,Audiobook,Adult,Historical,LGBT,LGBT",yes
10,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.46,"32,199,008","716,314",385,1997,4.47,8958054,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Classics,Adventure,Audiobook,Science Fiction Fantasy",yes
11,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.26,"14,551,351","471,004",32,2008,4.32,7702346,"Young Adult,Fiction,Science Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook",yes
12,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,"4,852,880","160,529",68,2005,4.16,2980906,"Fiction,Mystery,Thriller,Mystery,Thriller,Suspense,Contemporary,Adult,Cultural,Adult Fiction",yes
13,The Girl on the Train (Hardcover),Paula Hawkins,3.89,"3,112,958","158,294",16,2015,3.95,2630147,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Audiobook,Adult,Adult Fiction",yes
14,Steve Jobs (Hardcover),Walter Isaacson,4.15,"1,633,601","39,790",71,2011,4.16,1159757,"Biography,Nonfiction,Business,Science,History,Biography Memoir,Audiobook,Leadership,Biography,Autobiography",yes
15,The Catcher in the Rye (Paperback),J.D. Salinger,3.84,"3,654,801","90,793",119,1951,3.81,3227613,"Classics,Fiction,Young Adult,Literature,Academic,Novels,Young Adult,Young Adult,Literature,Academic",yes
16,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.99,"2,966,069","120,425","1,691",1953,3.97,2129885,"Classics,Fiction,Science Fiction,Science Fiction,Academic,Literature,Novels,Fantasy,Audiobook,Adult",yes
17,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.04,"3,486,340","218,499",470,1985,4.13,1826597,"Fiction,Classics,Science Fiction,Science Fiction,Feminism,Fantasy,Adult,Audiobook,Literature,Novels",yes
18,The Midnight Library (Hardcover),Matt Haig,4.01,"1,668,194","187,984",89,2020,4.03,1200479,"Fiction,Fantasy,Contemporary,Audiobook,Magical Realism,Adult,Science Fiction,Health,Adult Fiction,Book Club",yes
19,Jane Eyre (Paperback),Charlotte Brontë,4.02,"3,520,224","95,892",869,1847,4.14,1921478,"Classics,Fiction,Romance,Historical,Gothic,Literature,Historical,Academic,Literature,Novels",yes
20,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.68,"13,005,848","387,884",74,2005,3.63,5982244,"Fantasy,Young Adult,Romance,Fiction,Paranormal,Fantasy,Romance,Fantasy,Fantasy,Young Adult",yes
21,Little Women (Paperback),Louisa May Alcott,4.1,"2,359,676","64,153","1,638",1868,4.13,2019688,"Classics,Fiction,Historical,Young Adult,Romance,Historical,Literature,Childrens,Classics,Audiobook",yes
22,Gone Girl (Paperback),Gillian Flynn,4.06,"4,699,806","273,615",21,2012,4.11,2781724,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Adult,Audiobook,Adult Fiction",yes
23,The Kite Runner (Paperback),Khaled Hosseini,4.33,"4,717,719","195,536",27,2003,4.33,2872762,"Fiction,Historical,Classics,Contemporary,Novels,Historical,Literature,Adult,Academic,Drama",yes
24,Wuthering Heights (Paperback),Emily Brontë,3.89,"1,670,616","53,104",695,1847,3.88,1631340,"Classics,Fiction,Romance,Gothic,Historical,Literature,Literature,Novels,Historical,Classics",yes
25,The Picture of Dorian Gray (Paperback),Oscar Wilde,4.11,"2,159,866","92,092","2,824",1890,4.11,1298144,"Classics,Fiction,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics",yes
26,The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,4.17,"1,701,292","237,346",61,2020,4.22,733146,"Fantasy,Fiction,Historical,Romance,Adult,Audiobook,Historical,Magical Realism,LGBT,Contemporary",yes
27,"Divergent (Divergent, #1)",Veronica Roth,4.03,"6,677,151","294,114",50,2011,4.16,3592559,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Action,Apocalyptic",yes
28,Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,4.33,"1,222,247","74,056",54,2011,4.38,846814,"Nonfiction,History,Science,Philosophy,Anthropology,Audiobook,Psychology,Sociology,Historical,Biology",yes
29,Circe (Hardcover),Madeline Miller,4.31,"1,843,766","198,156",12,2018,4.25,782601,"Fantasy,Fiction,Fantasy,Historical,Mythology,Retellings,Audiobook,Historical,Adult,Fantasy",yes
30,Anna Karenina (Paperback),Leo Tolstoy,4.08,"1,487,197","77,552","3,537",1878,4.08,779370,"Classics,Fiction,Romance,Cultural,Historical,Literature,Literature,Novels,Literature,Historical",yes
31,How to Win Friends and Influence People (Paperback),Dale Carnegie,4.2,"1,003,960","28,154",524,1936,4.21,850992,"Self Help,Nonfiction,Business,Psychology,Self Help,Leadership,Classics,Language,Audiobook,Relationships",yes
32,The Silent Patient (Hardcover),Alex Michaelides,4.09,"1,514,160","146,950",9,2019,4.17,1291234,"Thriller,Mystery,Fiction,Thriller,Audiobook,Suspense,Mystery,Adult,Thriller,Contemporary",yes
33,The Time Traveler's Wife (ebook),Audrey Niffenegger,3.94,"1,830,702","68,280",41,2004,3.99,1712988,"Fiction,Romance,Fantasy,Science Fiction,Science Fiction,Contemporary,Adult,Womens Fiction,Adult Fiction,Magical Realism",yes
34,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.35,"10,073,413","175,255",512,1937,4.28,3535816,"Fantasy,Classics,Fiction,Adventure,Young Adult,Science Fiction Fantasy,Fantasy,Childrens,Fantasy,Novels",yes
35,Lord of the Flies (Paperback),William Golding,3.69,"2,685,635","50,212",91,1954,3.69,2663176,"Classics,Fiction,Young Adult,Academic,Literature,Science Fiction,Academic,Novels,Young Adult,Adventure",yes
36,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.37,"6,423,033","220,099","1,121",1996,4.44,2303264,"Fantasy,Fiction,Fantasy,Adult,Fantasy,Science Fiction Fantasy,Adventure,Audiobook,Fantasy,Epic",yes
37,"Dune (Dune, #1)",Frank Herbert,4.13,"1,887,134","77,998",364,1965,4.25,1151202,"Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Audiobook,Space,Novels,Adventure,Adult",yes
38,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.36,"8,084,588","673,297",87,2015,4.2,1230157,"Fantasy,Romance,Young Adult,New Adult,Fiction,Fairies,Retellings,Fantasy,Young Adult,Romance",yes
39,The Night Circus (Hardcover),Erin Morgenstern,4.0,"1,031,772","123,843",5,2011,4.03,863003,"Fantasy,Fiction,Romance,Historical,Magical Realism,Fantasy,Young Adult,Adult,Audiobook,Historical",yes
40,Educated (Hardcover),Tara Westover,4.47,"1,255,931","93,610",7,2018,4.47,1254353,"Nonfiction,Autobiography,Biography,Audiobook,Biography Memoir,Biography,Education,Book Club,Adult,Religion",yes
41,Brave New World (Paperback),Aldous Huxley,3.99,"2,028,148","52,877",442,1932,3.99,1695334,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Academic,Fantasy,Philosophy,Science Fiction Fantasy",yes
42,Eleanor & Park (Hardcover),Rainbow Rowell,3.96,"2,766,957","263,016",93,2012,3.97,1079516,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Young Adult,Young Adult,Young Adult",yes
43,People We Meet on Vacation (Paperback),Emily Henry,4.05,"1,909,306","216,951",11,2021,3.95,716494,"Romance,Fiction,Contemporary,Romance,Adult,Womens Fiction,Audiobook,Adult Fiction,Travel,New Adult",yes
44,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,"3,166,111","75,134",87,1979,4.23,1697693,"Science Fiction,Fiction,Humor,Classics,Fantasy,Humor,Science Fiction Fantasy,Audiobook,Adventure,Novels",yes
45,"Red Queen (Red Queen, #1)",Victoria Aveyard,3.94,"1,634,617","124,969",24,2015,4.03,853643,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Fantasy,Audiobook,Science Fiction,Fantasy",yes
46,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.17,"3,659,317","407,612",69,2015,4.49,733000,"Fantasy,Young Adult,Fiction,Young Adult,Romance,LGBT,Adventure,Fantasy,Fantasy,Audiobook",yes
47,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Paperback),Mark Manson,3.92,"1,014,602","64,007",78,2016,3.91,872917,"Nonfiction,Self Help,Psychology,Audiobook,Self Help,Philosophy,Business,Humor,Adult,Health",yes
48,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.09,"2,905,818","278,307",168,2018,4.08,773693,"Fantasy,Young Adult,Romance,Fairies,Fiction,Young Adult,Fantasy,Audiobook,Romance,Fantasy",yes
49,The Help (Hardcover),Kathryn Stockett,4.47,"2,530,559","87,828",4,2009,4.47,2530491,"Fiction,Historical,Historical,Adult,Adult Fiction,Audiobook,Contemporary,Classics,Book Club,Womens Fiction",yes
50,Les Misérables (Mass Market Paperback),Victor Hugo,4.15,"1,056,458","34,644","2,259",1862,4.19,755177,"Classics,Fiction,Historical,Literature,Cultural,Historical,Novels,European Literature,Romance,Classics",yes
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.23,"8,430,569","485,052",187,2007,4.08,1876941,"Fantasy,Young Adult,Fantasy,Romance,Fantasy,Fiction,Paranormal,Fantasy,Young Adult,Paranormal",yes
52,"Red, White & Royal Blue (Paperback)",Casey McQuiston,4.11,"856,713","116,993",6,2019,4.14,645148,"Romance,LGBT,Contemporary,Fiction,LGBT,Young Adult,New Adult,Audiobook,Adult,Romance",yes
53,Crime and Punishment (Paperback),Fyodor Dostoevsky,4.19,"1,947,631","101,858","2,345",1866,4.25,787532,"Classics,Fiction,Cultural,Literature,Literature,Philosophy,Novels,Mystery,Literature,Academic",yes
54,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.34,"11,197,105","446,238",278,2005,4.29,2590702,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Childrens,Mythology,Fantasy,Audiobook",yes
55,Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.07,"2,787,191","100,770",464,1969,4.09,1274433,"Classics,Fiction,Science Fiction,War,Historical,Literature,Novels,Science Fiction,Fantasy,Literature",yes
56,Becoming (Hardcover),Michelle Obama,4.48,"910,855","64,563",35,2018,4.48,896920,"Nonfiction,Autobiography,Biography,Audiobook,Biography,Politics,Biography Memoir,Feminism,History,Adult",yes
57,Catch-22 (Paperback),Joseph Heller,3.97,"817,675","23,025",43,1961,3.99,793038,"Classics,Fiction,Historical,War,Humor,Literature,Novels,Literature,Unfinished,Historical",yes
58,Verity (Paperback),Colleen Hoover,4.24,"9,637,673","874,520",70,2018,4.39,1426402,"Thriller,Romance,Mystery,Fiction,Thriller,Contemporary,Suspense,Adult,Audiobook,Dark",yes
59,We Were Liars (Kindle Edition),E. Lockhart,3.69,"1,161,168","118,207",22,2014,3.72,954389,"Young Adult,Mystery,Contemporary,Fiction,Romance,Thriller,Thriller,Realistic Fiction,Audiobook,Young Adult",yes
60,The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,4.11,"486,457","23,285",24,2012,4.13,454097,"Nonfiction,Self Help,Psychology,Business,Self Help,Productivity,Audiobook,Science,Leadership,Sociology",yes
61,A Little Life (Hardcover),Hanya Yanagihara,4.26,"463,277","71,959",14,2015,4.34,406174,"Fiction,Contemporary,LGBT,Literary Fiction,Adult,LGBT,Health,Novels,Audiobook,Adult Fiction",yes
62,"The Selection (The Selection, #1)",Kiera Cass,3.99,"3,603,626","223,840",33,2012,4.1,1335646,"Young Adult,Romance,Science Fiction,Fantasy,Fiction,Science Fiction,Audiobook,Young Adult,Young Adult,Womens Fiction",yes
63,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.97,"1,666,716","107,826",27,2011,3.92,1167548,"Fantasy,Young Adult,Fiction,Fantasy,Mystery,Horror,Historical,Science Fiction,Fantasy,Adventure",yes
64,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback),Stephen R. Covey,4.13,"849,238","20,611",506,1988,4.15,671369,"Self Help,Nonfiction,Business,Self Help,Psychology,Leadership,Productivity,Business,Audiobook,Philosophy",yes
65,The Shining (Paperback),Stephen King,4.06,"17,484,617","775,838","1,886",1977,4.26,1346837,"Horror,Fiction,Thriller,Classics,Fantasy,Fantasy,Mystery,Adult,Suspense,Audiobook",yes
66,"Me Before You (Me Before You, #1)",Jojo Moyes,4.11,"3,002,905","213,732",60,2012,4.26,1457884,"Romance,Fiction,Contemporary,Womens Fiction,Adult,Adult Fiction,Audiobook,Romance,Drama,Realistic Fiction",yes
67,Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.14,"1,906,202","33,687",8,1997,4.14,1898975,"Fiction,Historical,Romance,Historical,Classics,Cultural,Adult,Novels,Cultural,Adult Fiction",yes
68,Gone with the Wind (Mass Market Paperback),Margaret Mitchell,4.31,"1,200,089","23,644",72,1936,4.3,1166185,"Classics,Historical,Fiction,Romance,Historical,War,Literature,Military History,Romance,Novels",yes
69,Lolita (Paperback),Vladimir Nabokov,3.88,"1,417,118","61,245",505,1955,3.88,772859,"Classics,Fiction,Literature,Novels,Cultural,Romance,Literature,Literary Fiction,Literature,Adult",yes
70,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.21,"2,589,749","270,000",56,2012,4.13,841575,"Fantasy,Young Adult,Science Fiction,Romance,Science Fiction,Retellings,Fiction,Fantasy,Audiobook,Young Adult",yes
71,Malibu Rising (Hardcover),Taylor Jenkins Reid,4.27,"3,847,785","430,295",19,2021,4.08,653238,"Fiction,Historical,Contemporary,Audiobook,Romance,Adult,Historical,Adult Fiction,Family,Womens Fiction",yes
72,The Princess Bride (Paperback),William Goldman,4.25,"898,235","25,669",56,1973,4.26,857339,"Fantasy,Classics,Fiction,Romance,Humor,Young Adult,Adventure,Humor,Science Fiction Fantasy,Fantasy",yes
73,A Tale of Two Cities (Paperback),Charles Dickens,3.91,"3,609,421","121,932","5,782",1859,3.86,896695,"Classics,Fiction,Historical,Literature,Historical,Novels,Academic,Classics,Literature,European Literature",yes
74,The Bell Jar (Paperback),Sylvia Plath,4.07,"976,632","48,839",205,1963,4.04,784282,"Classics,Fiction,Feminism,Health,Psychology,Literature,Mental Health,Novels,Poetry,Literary Fiction",yes
75,Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,4.27,"3,847,785","430,295",19,2019,4.24,803195,"Fiction,Historical,Audiobook,Contemporary,Romance,Adult,Music,Historical,Adult Fiction,Literary Fiction",yes
76,Ugly Love (Kindle Edition),Colleen Hoover,4.24,"9,637,673","874,520",70,2014,4.18,1065405,"Romance,New Adult,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Young Adult,Love",yes
