Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres,worth_reading
To Kill a Mockingbird (Paperback),Harper Lee,4.23,5795640,139969,50,1960,4.27,5510092,"Classics,Fiction,Historical,Academic,Literature,Young Adult,Historical,Academic,Novels,Young Adult",yes
1984 (Paperback),George Orwell,4.1,8007938,201434,729,1949,4.19,4034352,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Politics,Academic,Fantasy,Adult",yes
Pride and Prejudice (Paperback),Jane Austen,4.14,7410567,236940,2081,1813,4.28,3800710,"Classics,Fiction,Romance,Historical,Literature,Historical,Novels,Audiobook,Romance,Adult",yes
The Book Thief (Hardcover),Markus Zusak,4.35,2492083,155646,25,2006,4.39,2283079,"Historical,Fiction,Young Adult,Historical,Classics,War,World War II,War,Writing,Audiobook",yes
The Fault in Our Stars (Hardcover),John Green,4,8873561,413746,46,2012,4.16,4583660,"Young Adult,Romance,Fiction,Contemporary,Realistic Fiction,Young Adult,Young Adult,Novels,Drama,Love",yes
The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.18,3446416,39176,71,1947,4.18,3383697,"Classics,Nonfiction,History,Biography,Autobiography,Historical,World War II,Biography,War,War",yes
The Great Gatsby (Paperback),F. Scott Fitzgerald,3.91,5107397,118138,1273,1925,3.93,4669649,"Classics,Fiction,Academic,Historical,Literature,Romance,Novels,Academic,Young Adult,Literature",yes
The Alchemist (Paperback),Paulo Coelho,3.8,3889259,172390,225,1988,3.9,2684062,"Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Self Help,Literature,Adventure,Inspirational",yes
All the Light We Cannot See (Hardcover),Anthony Doerr,4.3,1567798,118309,47,2014,4.32,1377724,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Cultural,Book Club,Literary Fiction",yes
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.27,3847577,430281,19,2017,4.46,1707879,"Fiction,Historical,Romance,LGBT,Contemporary,Audiobook,Adult,Historical,LGBT,LGBT",yes
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.46,32199008,716314,385,1997,4.47,8958054,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Classics,Adventure,Audiobook,Science Fiction Fantasy",yes
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.26,14551351,471004,32,2008,4.32,7702346,"Young Adult,Fiction,Science Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook",yes
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,4852880,160529,68,2005,4.16,2980906,"Fiction,Mystery,Thriller,Mystery,Thriller,Suspense,Contemporary,Adult,Cultural,Adult Fiction",yes
The Girl on the Train (Hardcover),Paula Hawkins,3.89,3112958,158294,16,2015,3.95,2630147,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Audiobook,Adult,Adult Fiction",yes
Steve Jobs (Hardcover),Walter Isaacson,4.15,1633601,39790,71,2011,4.16,1159757,"Biography,Nonfiction,Business,Science,History,Biography Memoir,Audiobook,Leadership,Biography,Autobiography",yes
The Catcher in the Rye (Paperback),J.D. Salinger,3.84,3654801,90793,119,1951,3.81,3227613,"Classics,Fiction,Young Adult,Literature,Academic,Novels,Young Adult,Young Adult,Literature,Academic",yes
Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.99,2966069,120425,1691,1953,3.97,2129885,"Classics,Fiction,Science Fiction,Science Fiction,Academic,Literature,Novels,Fantasy,Audiobook,Adult",yes
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.04,3486340,218499,470,1985,4.13,1826597,"Fiction,Classics,Science Fiction,Science Fiction,Feminism,Fantasy,Adult,Audiobook,Literature,Novels",yes
The Midnight Library (Hardcover),Matt Haig,4.01,1668194,187984,89,2020,4.03,1200479,"Fiction,Fantasy,Contemporary,Audiobook,Magical Realism,Adult,Science Fiction,Health,Adult Fiction,Book Club",yes
Jane Eyre (Paperback),Charlotte Brontë,4.02,3520224,95892,869,1847,4.14,1921478,"Classics,Fiction,Romance,Historical,Gothic,Literature,Historical,Academic,Literature,Novels",yes
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.68,13005848,387884,74,2005,3.63,5982244,"Fantasy,Young Adult,Romance,Fiction,Paranormal,Fantasy,Romance,Fantasy,Fantasy,Young Adult",yes
Little Women (Paperback),Louisa May Alcott,4.1,2359676,64153,1638,1868,4.13,2019688,"Classics,Fiction,Historical,Young Adult,Romance,Historical,Literature,Childrens,Classics,Audiobook",yes
Gone Girl (Paperback),Gillian Flynn,4.06,4699806,273615,21,2012,4.11,2781724,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Adult,Audiobook,Adult Fiction",yes
The Kite Runner (Paperback),Khaled Hosseini,4.33,4717719,195536,27,2003,4.33,2872762,"Fiction,Historical,Classics,Contemporary,Novels,Historical,Literature,Adult,Academic,Drama",yes
Wuthering Heights (Paperback),Emily Brontë,3.89,1670616,53104,695,1847,3.88,1631340,"Classics,Fiction,Romance,Gothic,Historical,Literature,Literature,Novels,Historical,Classics",yes
The Picture of Dorian Gray (Paperback),Oscar Wilde,4.11,2159866,92092,2824,1890,4.11,1298144,"Classics,Fiction,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics",yes
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,4.17,1701292,237346,61,2020,4.22,733146,"Fantasy,Fiction,Historical,Romance,Adult,Audiobook,Historical,Magical Realism,LGBT,Contemporary",yes
