Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres
To Kill a Mockingbird (Paperback),Harper Lee,4.23,"5,795,640","139,969",50,1960,4.27,5510092,"Classics,Fiction,Historical,Academic,Literature,Young Adult,Historical,Academic,Novels,Young Adult"
1984 (Paperback),George Orwell,4.1,"8,007,938","201,434",729,1949,4.19,4034352,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Politics,Academic,Fantasy,Adult"
Pride and Prejudice (Paperback),Jane Austen,4.14,"7,410,567","236,940","2,081",1813,4.28,3800710,"Classics,Fiction,Romance,Historical,Literature,Historical,Novels,Audiobook,Romance,Adult"
The Book Thief (Hardcover),Markus Zusak,4.35,"2,492,083","155,646",25,2006,4.39,2283079,"Historical,Fiction,Young Adult,Historical,Classics,War,World War II,War,Writing,Audiobook"
The Fault in Our Stars (Hardcover),John Green,4.0,"8,873,561","413,746",46,2012,4.16,4583660,"Young Adult,Romance,Fiction,Contemporary,Realistic Fiction,Young Adult,Young Adult,Novels,Drama,Love"
The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.18,"3,446,416","39,176",71,1947,4.18,3383697,"Classics,Nonfiction,History,Biography,Autobiography,Historical,World War II,Biography,War,War"
The Great Gatsby (Paperback),F. Scott Fitzgerald,3.91,"5,107,397","118,138","1,273",1925,3.93,4669649,"Classics,Fiction,Academic,Historical,Literature,Romance,Novels,Academic,Young Adult,Literature"
The Alchemist (Paperback),Paulo Coelho,3.8,"3,889,259","172,390",225,1988,3.90,2684062,"Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Self Help,Literature,Adventure,Inspirational"
All the Light We Cannot See (Hardcover),Anthony Doerr,4.3,"1,567,798","118,309",47,2014,4.32,1377724,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Cultural,Book Club,Literary Fiction"
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.27,"3,847,577","430,281",19,2017,4.46,1707879,"Fiction,Historical,Romance,LGBT,Contemporary,Audiobook,Adult,Historical,LGBT,LGBT"
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.46,"32,199,008","716,314",385,1997,4.47,8958054,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Classics,Adventure,Audiobook,Science Fiction Fantasy"
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.26,"14,551,351","471,004",32,2008,4.32,7702346,"Young Adult,Fiction,Science Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,"4,852,880","160,529",68,2005,4.16,2980906,"Fiction,Mystery,Thriller,Mystery,Thriller,Suspense,Contemporary,Adult,Cultural,Adult Fiction"
The Girl on the Train (Hardcover),Paula Hawkins,3.89,"3,112,958","158,294",16,2015,3.95,2630147,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Audiobook,Adult,Adult Fiction"
Steve Jobs (Hardcover),Walter Isaacson,4.15,"1,633,601","39,790",71,2011,4.16,1159757,"Biography,Nonfiction,Business,Science,History,Biography Memoir,Audiobook,Leadership,Biography,Autobiography"
The Catcher in the Rye (Paperback),J.D. Salinger,3.84,"3,654,801","90,793",119,1951,3.81,3227613,"Classics,Fiction,Young Adult,Literature,Academic,Novels,Young Adult,Young Adult,Literature,Academic"
Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.99,"2,966,069","120,425","1,691",1953,3.97,2129885,"Classics,Fiction,Science Fiction,Science Fiction,Academic,Literature,Novels,Fantasy,Audiobook,Adult"
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.04,"3,486,340","218,499",470,1985,4.13,1826597,"Fiction,Classics,Science Fiction,Science Fiction,Feminism,Fantasy,Adult,Audiobook,Literature,Novels"
The Midnight Library (Hardcover),Matt Haig,4.01,"1,668,194","187,984",89,2020,4.03,1200479,"Fiction,Fantasy,Contemporary,Audiobook,Magical Realism,Adult,Science Fiction,Health,Adult Fiction,Book Club"
Jane Eyre (Paperback),Charlotte Brontë,4.02,"3,520,224","95,892",869,1847,4.14,1921478,"Classics,Fiction,Romance,Historical,Gothic,Literature,Historical,Academic,Literature,Novels"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.68,"13,005,848","387,884",74,2005,3.63,5982244,"Fantasy,Young Adult,Romance,Fiction,Paranormal,Fantasy,Romance,Fantasy,Fantasy,Young Adult"
Little Women (Paperback),Louisa May Alcott,4.1,"2,359,676","64,153","1,638",1868,4.13,2019688,"Classics,Fiction,Historical,Young Adult,Romance,Historical,Literature,Childrens,Classics,Audiobook"
Gone Girl (Paperback),Gillian Flynn,4.06,"4,699,806","273,615",21,2012,4.11,2781724,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Adult,Audiobook,Adult Fiction"
The Kite Runner (Paperback),Khaled Hosseini,4.33,"4,717,719","195,536",27,2003,4.33,2872762,"Fiction,Historical,Classics,Contemporary,Novels,Historical,Literature,Adult,Academic,Drama"
Wuthering Heights (Paperback),Emily Brontë,3.89,"1,670,616","53,104",695,1847,3.88,1631340,"Classics,Fiction,Romance,Gothic,Historical,Literature,Literature,Novels,Historical,Classics"
The Picture of Dorian Gray (Paperback),Oscar Wilde,4.11,"2,159,866","92,092","2,824",1890,4.11,1298144,"Classics,Fiction,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics"
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,4.17,"1,701,292","237,346",61,2020,4.22,733146,"Fantasy,Fiction,Historical,Romance,Adult,Audiobook,Historical,Magical Realism,LGBT,Contemporary"
"Divergent (Divergent, #1)",Veronica Roth,4.03,"6,677,151","294,114",50,2011,4.16,3592559,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Action,Apocalyptic"
Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,4.33,"1,222,247","74,056",54,2011,4.38,846814,"Nonfiction,History,Science,Philosophy,Anthropology,Audiobook,Psychology,Sociology,Historical,Biology"
Circe (Hardcover),Madeline Miller,4.31,"1,843,766","198,156",12,2018,4.25,782601,"Fantasy,Fiction,Fantasy,Historical,Mythology,Retellings,Audiobook,Historical,Adult,Fantasy"
Anna Karenina (Paperback),Leo Tolstoy,4.08,"1,487,197","77,552","3,537",1878,4.08,779370,"Classics,Fiction,Romance,Cultural,Historical,Literature,Literature,Novels,Literature,Historical"
How to Win Friends and Influence People (Paperback),Dale Carnegie,4.2,"1,003,960","28,154",524,1936,4.21,850992,"Self Help,Nonfiction,Business,Psychology,Self Help,Leadership,Classics,Language,Audiobook,Relationships"
The Silent Patient (Hardcover),Alex Michaelides,4.09,"1,514,160","146,950",9,2019,4.17,1291234,"Thriller,Mystery,Fiction,Thriller,Audiobook,Suspense,Mystery,Adult,Thriller,Contemporary"
