Title,Author,Year,Rating,Readers
Verity,Colleen Hoover,"4.42 avg rating — 1,223,712 ratings
              —
                published
               2018","4.42 avg rating — 1,223,712 ratings","11,552
               people read it"
I'm Glad My Mom Died,Jennette McCurdy,"4.66 avg rating — 122,041 ratings
              —
                published
               2022","4.66 avg rating — 122,041 ratings","10,405
               people read it"
It Ends with Us,Colleen Hoover,"4.38 avg rating — 1,650,787 ratings
              —
                published
               2016","4.38 avg rating — 1,650,787 ratings","8,343
               people read it"
Carrie Soto Is Back,Taylor Jenkins Reid,"4.32 avg rating — 64,942 ratings
              —
                published
               2022","4.32 avg rating — 64,942 ratings","7,919
               people read it"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"4.47 avg rating — 1,529,121 ratings
              —
                published
               2017","4.47 avg rating — 1,529,121 ratings","7,281
               people read it"
Book Lovers,Emily Henry,"4.28 avg rating — 394,736 ratings
              —
                published
               2022","4.28 avg rating — 394,736 ratings","6,920
               people read it"
Reminders of Him,Colleen Hoover,"4.52 avg rating — 528,355 ratings
              —
                published
               2022","4.52 avg rating — 528,355 ratings","6,082
               people read it"
Lessons in Chemistry,Bonnie Garmus,"4.39 avg rating — 150,198 ratings
              —
                published
               2022","4.39 avg rating — 150,198 ratings","5,722
               people read it"
Ugly Love,Colleen Hoover,"4.22 avg rating — 934,804 ratings
              —
                published
               2014","4.22 avg rating — 934,804 ratings","5,556
               people read it"
Where the Crawdads Sing,Delia Owens,"4.43 avg rating — 2,127,022 ratings
              —
                published
               2018","4.43 avg rating — 2,127,022 ratings","5,503
               people read it"
Love on the Brain,Ali Hazelwood,"4.06 avg rating — 91,253 ratings
              —
                published
               2022","4.06 avg rating — 91,253 ratings","5,375
               people read it"
The Perfect Marriage,Jeneva Rose,"4.05 avg rating — 116,263 ratings
              —
                published
               2020","4.05 avg rating — 116,263 ratings","5,368
               people read it"
Fairy Tale,Stephen King,"4.34 avg rating — 21,457 ratings
              —
                published
               2022","4.34 avg rating — 21,457 ratings","5,111
               people read it"
The Housemaid,Freida McFadden,"4.38 avg rating — 65,905 ratings
              —
                published
               2022","4.38 avg rating — 65,905 ratings","4,575
               people read it"
"Things We Never Got Over (Knockemout, #1)",Lucy Score,"4.29 avg rating — 178,032 ratings
              —
                published
               2022","4.29 avg rating — 178,032 ratings","4,523
               people read it"
November 9,Colleen Hoover,"4.29 avg rating — 535,633 ratings
              —
                published
               2015","4.29 avg rating — 535,633 ratings","4,248
               people read it"
Every Summer After,Carley Fortune,"4.34 avg rating — 152,272 ratings
              —
                published
               2022","4.34 avg rating — 152,272 ratings","4,137
               people read it"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"4.19 avg rating — 1,144,544 ratings
              —
                published
               2015","4.19 avg rating — 1,144,544 ratings","4,035
               people read it"
The Silent Patient,Alex Michaelides,"4.17 avg rating — 1,201,064 ratings
              —
                published
               2019","4.17 avg rating — 1,201,064 ratings","3,996
               people read it"
The Last Thing He Told Me,Laura Dave,"3.88 avg rating — 544,513 ratings
              —
                published
               2021","3.88 avg rating — 544,513 ratings","3,950
               people read it"
"Icebreaker (UCMH, #1)",Hannah Grace,"4.28 avg rating — 20,123 ratings","4.28 avg rating — 20,123 ratings","3,579
               people read it"
The Paris Apartment,Lucy Foley,"3.69 avg rating — 203,301 ratings
              —
                published
               2022","3.69 avg rating — 203,301 ratings","3,414
               people read it"
The It Girl,Ruth Ware,"3.90 avg rating — 53,976 ratings
              —
                published
               2022","3.90 avg rating — 53,976 ratings","3,409
               people read it"
Daisy Darker,Alice Feeney,"3.93 avg rating — 30,072 ratings
              —
                published
               2022","3.93 avg rating — 30,072 ratings","3,397
               people read it"
All Good People Here,Ashley Flowers,"really liked it 4.00 avg rating — 27,363 ratings
              —
                published
               2022","really liked it 4.00 avg rating — 27,363 ratings","3,389
               people read it"
The Love Hypothesis,Ali Hazelwood,"4.29 avg rating — 728,053 ratings
              —
                published
               2021","4.29 avg rating — 728,053 ratings","3,337
               people read it"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"4.62 avg rating — 819,221 ratings
              —
                published
               2016","4.62 avg rating — 819,221 ratings","3,315
               people read it"
Malibu Rising,Taylor Jenkins Reid,"4.09 avg rating — 598,098 ratings
              —
                published
               2021","4.09 avg rating — 598,098 ratings","3,277
               people read it"
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"4.37 avg rating — 46,502 ratings
              —
                published
               2022","4.37 avg rating — 46,502 ratings","3,265
               people read it"
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"4.23 avg rating — 40,992 ratings
              —
                published
               2022","4.23 avg rating — 40,992 ratings","3,247
               people read it"
People We Meet on Vacation,Emily Henry,"3.96 avg rating — 660,826 ratings
              —
                published
               2021","3.96 avg rating — 660,826 ratings","3,202
               people read it"
The Midnight Library,Matt Haig,"4.03 avg rating — 1,125,349 ratings
              —
                published
               2020","4.03 avg rating — 1,125,349 ratings","3,158
               people read it"
Wrong Place Wrong Time,Gillian McAllister,"4.17 avg rating — 33,339 ratings
              —
                published
               2022","4.17 avg rating — 33,339 ratings","3,135
               people read it"
Daisy Jones & The Six,Taylor Jenkins Reid,"4.24 avg rating — 742,977 ratings
              —
                published
               2019","4.24 avg rating — 742,977 ratings","3,067
               people read it"
Regretting You,Colleen Hoover,"4.22 avg rating — 288,930 ratings
              —
                published
               2019","4.22 avg rating — 288,930 ratings","3,032
               people read it"
Beach Read,Emily Henry,"4.06 avg rating — 609,918 ratings
              —
                published
               2020","4.06 avg rating — 609,918 ratings","2,920
               people read it"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"4.43 avg rating — 657,077 ratings
              —
                published
               2017","4.43 avg rating — 657,077 ratings","2,872
               people read it"
Layla,Colleen Hoover,"3.75 avg rating — 200,369 ratings
              —
                published
               2020","3.75 avg rating — 200,369 ratings","2,801
               people read it"
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"4.41 avg rating — 382,364 ratings
              —
                published
               2021","4.41 avg rating — 382,364 ratings","2,598
               people read it"
The Invisible Life of Addie LaRue,V.E. Schwab,"4.22 avg rating — 688,587 ratings
              —
                published
               2020","4.22 avg rating — 688,587 ratings","2,563
               people read it"
Never Lie,Freida McFadden,"4.44 avg rating — 5,206 ratings
              —
                published
               2022","4.44 avg rating — 5,206 ratings","2,542
               people read it"
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"4.07 avg rating — 256,942 ratings
              —
                published
               2021","4.07 avg rating — 256,942 ratings","2,516
               people read it"
The Maid,Nita Prose,"3.86 avg rating — 199,868 ratings
              —
                published
               2022","3.86 avg rating — 199,868 ratings","2,511
               people read it"
"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,"4.56 avg rating — 13,444 ratings
              —
                published
               2022","4.56 avg rating — 13,444 ratings","2,483
               people read it"
One True Loves,Taylor Jenkins Reid,"4.10 avg rating — 165,487 ratings
              —
                published
               2016","4.10 avg rating — 165,487 ratings","2,478
               people read it"
The Hotel Nantucket,Elin Hilderbrand,"4.18 avg rating — 71,933 ratings
              —
                published
               2022","4.18 avg rating — 71,933 ratings","2,477
               people read it"
The Last Mrs. Parrish,Liv Constantine,"3.97 avg rating — 231,629 ratings
              —
                published
               2017","3.97 avg rating — 231,629 ratings","2,468
               people read it"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"4.36 avg rating — 383,656 ratings
              —
                published
               2019","4.36 avg rating — 383,656 ratings","2,429
               people read it"
