Title,Author,Author Average Rating,Author Votes,Author Review Count,Distinct Works,Year,Rating,Raters,Genres
Besos entre líneas,May R. Ayamonte,2.48,"3,168",766,9,2016,2.15,2183,"Young Adult,Romance,Contemporary,Romance"
Birth Control Is Sinful in the Christian Marriages and Also Robbing God of Priesthood Children!!,Eliyzabeth Yanne Strong-Anderson,1.86,273,95,1,2007,1.86,273,"Religion,Nonfiction"
A Parent's Guide to Preventing Homosexuality,Joseph Nicolosi,2.06,"1,088",351,10,2002,1.74,709,"Parenting,Psychology,Horror,Sexuality,Nonfiction,Unfinished,Reference"
Coming Out Straight: Understanding and Healing Homosexuality,Richard Cohen,2.47,780,205,25,2000,1.86,565,"Psychology,Fiction,Social Issues"
Dianetics: The Modern Science of Mental Health,L. Ron Hubbard,3.46,"67,355","5,817",684,2002,2.42,3206,"Religion,Nonfiction,Philosophy,Psychology,Self Help,Science,Religion,Spirituality,Audiobook,Reference"
Scientology: The Fundamentals of Thought,L. Ron Hubbard,3.46,"67,355","5,817",684,1998,2.54,939,"Religion,Philosophy,Nonfiction,Spirituality,Psychology,Religion,Religion,Self Help,Horror,Science"
"Handbook for Mortals (Handbook for Mortals, #1)",Lani Sarem,1.3,915,389,1,2017,1.3,915,"Fantasy,Young Adult,Romance,Fiction,Fantasy,New Adult,Unfinished,Fantasy,Mystery,Contemporary"
Authors vs. Goodreads,Zoe Desh,1.53,290,202,1,2014,1.53,290,"Nonfiction,Humor"
Confessions of an Heiress: A Tongue-In-Chic Peek Behind the Pose,Paris Hilton,3.04,"1,870",176,9,2006,2.99,1699,"Nonfiction,Autobiography,Biography,Biography,Womens Fiction,Biography Memoir,Couture,Media Tie In"
Women Who Work: Rewriting the Rules for Success,Ivanka Trump,3.15,"1,936",332,5,2017,2.88,967,"Nonfiction,Business,Self Help,Biography,Autobiography,Feminism,Biography,Gender,Leadership,Biography Memoir"
Behind the Bell,Dustin Diamond,2.34,724,155,2,2009,2.34,723,"Nonfiction,Biography,Autobiography,Biography,Adult,Culture,Biography Memoir,Media Tie In,History"
"Revealing Eden (Save the Pearls, #1)",Victoria Foyt,2.14,"1,120",436,7,2012,2.04,942,"Young Adult,Science Fiction,Science Fiction,Fantasy,Romance,Fiction,Apocalyptic,Young Adult,Science Fiction,Love"
Trigger Warning,William W. Johnstone,4.26,"155,660","8,340",551,2018,1.93,533,"Fiction,Thriller"
Reaper's Creek,Onision,1.74,"1,485",367,7,2018,1.12,306,"Fiction,Young Adult,Fantasy"
The Bible Code,Michael Drosnin,3.02,"2,910",236,6,1998,2.86,2005,"Nonfiction,Religion,Christian,History,Spirituality,Philosophy,Religion,Pseudoscience,Fantasy,Occult"
Star,Pamela Anderson,2.92,"1,770",202,18,2005,2.87,1275,"Fiction,Womens Fiction,Romance,Adult,Sexuality,Culture,Literature"
Pride and Promiscuity: The Lost Sex Scenes of Jane Austen,Arielle Eckstut,3.83,"2,002",367,8,2001,2.68,460,"Fiction,Humor,Romance,Historical,Adult Fiction,Short Stories,Historical,Retellings,Womens Fiction,Sexuality"
Uninvited,Amanda Marrone,3.45,"13,454","1,126",8,2007,2.94,4247,"Paranormal,Young Adult,Fantasy,Fantasy,Romance,Fantasy,Young Adult,Horror,Fiction,Romance"
"The Weight Loss Cure """"They"""" Don't Want You to Know About",Kevin Trudeau,3.22,"3,639",606,33,2007,2.93,347,"Health,Self Help,Nonfiction"
"Maradonia and the Seven Bridges (Maradonia Series, #1)",Gloria Tesch,2.36,268,77,6,2008,1.9,112,"Fantasy,Childrens,Young Adult,Fiction,Adventure"
