Title,Author,Rating,Raters,Genres
Besos entre líneas,May R. Ayamonte,2.15,2183,"Young Adult,Romance,Contemporary,Romance"
Birth Control Is Sinful in the Christian Marriages and Also Robbing God of Priesthood Children!!,Eliyzabeth Yanne Strong-Anderson,1.86,273,"Religion,Nonfiction"
A Parent's Guide to Preventing Homosexuality,Joseph Nicolosi,1.74,708,"Parenting,Psychology,Horror,Sexuality,Nonfiction,Unfinished,Reference"
Coming Out Straight: Understanding and Healing Homosexuality,Richard Cohen,1.86,564,"Psychology,Fiction,Social Issues"
Dianetics: The Modern Science of Mental Health,L. Ron Hubbard,2.42,3205,"Religion,Nonfiction,Philosophy,Psychology,Self Help,Science,Religion,Spirituality,Audiobook,Reference"
Scientology: The Fundamentals of Thought,L. Ron Hubbard,2.54,939,"Religion,Philosophy,Nonfiction,Spirituality,Psychology,Religion,Religion,Self Help,Horror,Science"
"Handbook for Mortals (Handbook for Mortals, #1)",Lani Sarem,1.29,916,"Fantasy,Young Adult,Romance,Fiction,Fantasy,New Adult,Unfinished,Fantasy,Mystery,Contemporary"
Authors vs. Goodreads,Zoe Desh,1.53,289,"Nonfiction,Humor"
Confessions of an Heiress: A Tongue-In-Chic Peek Behind the Pose,Paris Hilton,2.99,1699,"Nonfiction,Autobiography,Biography,Biography,Womens Fiction,Biography Memoir,Couture,Media Tie In"
Melanie's Marvelous Measles,Stephanie Messenger,1.33,179,
Women Who Work: Rewriting the Rules for Success,Ivanka Trump,2.88,967,"Nonfiction,Business,Self Help,Biography,Autobiography,Feminism,Biography,Gender,Leadership,Biography Memoir"
Behind the Bell,Dustin Diamond,2.34,723,"Nonfiction,Biography,Autobiography,Biography,Adult,Culture,Biography Memoir,Media Tie In,History"
"Revealing Eden (Save the Pearls, #1)",Victoria Foyt,2.04,942,"Young Adult,Science Fiction,Science Fiction,Fantasy,Romance,Fiction,Apocalyptic,Young Adult,Science Fiction,Adventure"
Trigger Warning,William W. Johnstone,1.93,533,"Fiction,Thriller"
Reaper's Creek,Onision,1.12,307,"Fiction,Young Adult,Fantasy"
The Bible Code,Michael Drosnin,2.86,2005,"Nonfiction,Religion,Christian,History,Spirituality,Philosophy,Religion,Pseudoscience,Fantasy,Occult"
Star,Pamela Anderson,2.87,1274,"Fiction,Womens Fiction,Romance,Adult,Sexuality,Culture,Literature"
Pride and Promiscuity: The Lost Sex Scenes of Jane Austen,Arielle Eckstut,2.68,460,"Fiction,Humor,Romance,Historical,Adult Fiction,Short Stories,Historical,Retellings,Womens Fiction,Sexuality"
Uninvited,Amanda Marrone,2.94,4247,"Paranormal,Young Adult,Fantasy,Fantasy,Romance,Fantasy,Young Adult,Horror,Fiction,Romance"
"The Weight Loss Cure """"They"""" Don't Want You to Know About",Kevin Trudeau,2.94,346,"Health,Self Help,Nonfiction"
"Maradonia and the Seven Bridges (Maradonia Series, #1)",Gloria Tesch,1.90,112,"Fantasy,Childrens,Young Adult,Fiction,Adventure"
Pygmy,Chuck Palahniuk,2.97,28069,"Fiction,Contemporary,Humor,Novels,Literature,Literature,Suspense,Unfinished,Adult Fiction,Humor"
The Mask of Gold,Alan A. McLean,1.99,1316,"Novels,Academic,Mystery,Literature,Fiction,Adventure,Short Stories,Academic"
"Barry Trotter and the Unauthorized Parody (Barry Trotter, #1)",Michael Gerber,2.82,2388,"Fantasy,Humor,Fiction,Humor,Young Adult,Fantasy,Novels,Childrens,European Literature,Anthologies"
Leaving Isn't the Hardest Thing,Lauren  Hough,3.27,8693,"Autobiography,Nonfiction,Writing,LGBT,LGBT,Audiobook,Religion,Biography,Feminism,Religion"
The Kid,Sapphire,2.69,2434,"Fiction,Contemporary,Novels,Adult,Adult Fiction,Cultural,Audiobook,Young Adult,Literature,Dark"
Wild Animus,Rich Shapero,1.91,845,"Fiction,Fantasy,Novels,Adult Fiction,Nature,Audiobook"
The Eye of Argon,Jim Theis,2.68,574,"Fantasy,Fiction,Humor,Classics,Science Fiction,Short Stories,Heroic Fantasy,Pulp,Horror,Humor"
Stones To Abbigale,Onision,1.93,685,"Fiction,Contemporary,Young Adult,Drama,Romance"
Empress Theresa,Norman Boutin,1.48,196,"Fiction,Science Fiction,Fantasy"
Kissing the Coronavirus (Kissing the Coronavirus #1),M.J.    Edwards,2.35,2983,"Romance,Adult Fiction,Short Stories,Adult,Fiction,Humor,Science Fiction,Fantasy,Humor,Contemporary"
Actors Anonymous,James Franco,2.58,1962,"Fiction,Short Stories,Contemporary,Adult,Literature,Audiobook,Humor,Unfinished,Novels,American"
The Almost Moon,Alice Sebold,2.70,36981,"Fiction,Contemporary,Adult Fiction,Drama,Adult,Novels,Audiobook,Family,Unfinished,Literary Fiction"
"Revenge Wears Prada: The Devil Returns (The Devil Wears Prada, #2)",Lauren Weisberger,2.97,35702,"Womens Fiction,Fiction,Romance,Contemporary,Audiobook,Adult,Couture,Adult Fiction,Novels,Humor"
Four Blondes,Candace Bushnell,2.84,25383,"Womens Fiction,Fiction,Romance,Contemporary,Adult Fiction,New York,Short Stories,Humor,Novels,Adult"
To Train Up a Child,Michael Pearl,2.87,1796,"Parenting,Christian,Nonfiction,Family,Self Help,Religion,Christian,Childrens,Spirituality,Psychology"
Adam,Ariel Schrag,2.68,2587,"Fiction,LGBT,Young Adult,LGBT,Contemporary,LGBT,Romance,Young Adult,New York,Adult Fiction"
Holy Terror,Frank Miller,1.98,994,"Sequential Art,Sequential Art,Comics,Fiction,Comics,War,Graphic Novels Comics,Politics,Dc Comics,Mystery"
This Is Why I Hate You,Onision,1.84,484,"Fiction,Drama,Contemporary"
Return to the Secret Garden,Susan Moody,2.70,251,"Fiction,Historical,Historical"
Pemberley: Or Pride and Prejudice Continued,Emma Tennant,2.49,1399,"Fiction,Historical,Romance,Historical,Classics,European Literature,Historical,Adult Fiction,Womens Fiction,Contemporary"
"After Dead: What Came Next in the World of Sookie Stackhouse (Sookie Stackhouse, #13.5)",Charlaine Harris,3.01,15649,"Fantasy,Fantasy,Paranormal,Fantasy,Fiction,Fantasy,Romance,Romance,Mystery,Short Stories"
"I Want to Tell You: My Response to Your Letters, Your Messages, Your Questions",O.J. Simpson,2.30,251,"Nonfiction,Crime,Biography,Autobiography,Biography"
"Quinn (Undaunted Men, #1)",J.C. Cliff,2.80,734,"Romance,War,Suspense,Romance,Contemporary,Romance,New Adult,Romance,Adult Fiction,Adult"
Pamela,Samuel Richardson,2.78,11733,"Classics,Fiction,Literature,Romance,Literature,European Literature,Novels,Academic,Literature,Historical"
Confessions of a Sociopathic Social Climber: The Katya Livingston Chronicles,Adèle Lang,2.74,788,"Womens Fiction,Fiction,Humor,Adult,European Literature,Adult Fiction"
"Suicide Ride: The Platinum Man (Suicide Ride, #1)",E. Llewellyn,2.81,227,"Romance,Business,Contemporary"
The Clansman,Thomas Dixon Jr.,2.63,297,"Fiction,Historical,Classics,Military History,Race,Literature,Novels,War,Media Tie In,Adult Fiction"
The Chemistry of Tears,Peter Carey,2.96,3994,"Fiction,Historical,Literary Fiction,Contemporary,Cultural,Novels,Audiobook,Historical,European Literature,Literature"
"The Kingdoms and the Elves of the Reaches (Keeper Martin's Tales, #1)",Robert Stanek,2.74,336,"Fantasy,Fiction,Young Adult,Fantasy,Fantasy"
Michelle Remembers,Michelle Smith,2.65,625,"Nonfiction,Horror,Crime,Biography,Autobiography,Psychology,Religion,Health,Cultural,Occult"
Malled: My Unintentional Career in Retail,Caitlin Kelly,2.63,663,"Nonfiction,Autobiography,Business,Biography Memoir,Biography,Adult,Humor,Social Science,Cultural,Unfinished"
Her,Harriet Lane,2.82,10088,"Fiction,Thriller,Mystery,Suspense,Contemporary,Thriller,Thriller,Adult,Adult Fiction,Novels"
Seduction of the Innocent: The Influence of Comic Books on Today's Youth,Fredric Wertham,2.54,146,"Nonfiction,Sequential Art,Psychology,Sociology,History,Criticism,Culture,Culture,Cultural,Sequential Art"
Batman: Fortunate Son,Gerard Jones,2.06,227,"Sequential Art,Dc Comics,Sequential Art,Superheroes,Graphic Novels Comics,Comics,Fiction,Comics"
American Nerd: The Story of My People,Benjamin Nugent,2.96,1445,"Nonfiction,Autobiography,Sociology,Culture,Biography,Cultural,History,Humor,Psychology,Writing"
The Widows of Eastwick (Eastwick #2),John Updike,2.96,2109,"Fiction,Fantasy,Literary Fiction,Paranormal,Literature,Novels,Contemporary,Classics,Audiobook,Fantasy"
Pride and Prejudice and Mistletoe,Melissa de la Cruz,2.63,6073,"Romance,Holiday,Fiction,Contemporary,Holiday,Retellings,Womens Fiction,Adult,Romance,Adult Fiction"
Irene Iddesleigh,Amanda McKittrick Ros,2.05,188,"Fiction,Classics,Humor,Historical,Romance"
iDrakula,Bekka Black,2.94,868,"Young Adult,Paranormal,Fantasy,Horror,Fantasy,Young Adult,Romance,Classics,Fiction,Fantasy"
"Pride/Prejudice: A Novel of Mr. Darcy, Elizabeth Bennet, and Their Forbidden Lovers",Ann Herendeen,2.56,202,"Fiction,Romance,Adult Fiction,Historical,Historical,Adult Fiction,LGBT,Retellings,LGBT,Romance"
"Murder on the Eiffel Tower (Victor Legris, #1)",Claude Izner,2.93,1805,"Mystery,Historical,Cultural,Mystery,Fiction,Mystery,Historical,Thriller,Thriller,Mystery"
Him Her Him Again the End of Him,Patricia Marx,2.84,1883,"Fiction,Humor,Womens Fiction,Adult Fiction,Relationships,Audiobook,Humor,Contemporary,Novels,Romance"
The Resurrectionist,James  Bradley,2.79,1751,"Historical,Fiction,Historical,Horror,Gothic,Mystery,Thriller,Cultural,Mystery,Literature"
Wentworth Hall,Abby Grahame,2.88,1364,"Historical,Young Adult,Historical,Romance,Fiction,European Literature,Mystery,Young Adult,Family,Womens Fiction"
Passenger to Frankfurt,Agatha Christie,2.88,11501,"Mystery,Fiction,Mystery,Classics,Thriller,Mystery,Thriller,European Literature,Suspense,Novels"
Feuchtgebiete,Charlotte Roche,2.84,9922,"Fiction,Contemporary,European Literature,Feminism,Cultural,Roman,Adult Fiction,Novels,Sexuality,Adult"
Confessions of a Counterfeit Farm Girl: A Memoir,Susan McCorkindale,2.78,1256,"Nonfiction,Autobiography,Humor,Womens Fiction,Biography,Biography,Biography Memoir,Family,Unfinished,Animals"
The Spiders,D'Arcy Adrian-Vallance,2.08,1160,"Novels,Academic,Short Stories,Literature,Fiction,Science Fiction,Academic,Mystery,Adventure"
Adèle,Emma Tennant,2.27,254,"Historical,Fiction,Retellings,Historical,European Literature,Historical,Classics,Own"
Knots,Nuruddin Farah,3.00,271,"Cultural,Fiction,Eastern Africa,Contemporary,Novels,Literature,Feminism,Cultural,Literature"
Neil Gaiman's Lady Justice: Vol. 1,C.J. Henderson,2.65,330,"Sequential Art,Sequential Art,Fiction,Fantasy,Graphic Novels Comics,Comics,Comics,Fantasy,Graphic Novels Manga,Adult"
Lair of the White Worm,Bram Stoker,2.80,3827,"Horror,Classics,Fiction,Gothic,Fantasy,Novels,Literature,Mystery,Literature,Fantasy"
List of the Lost,Morrissey,2.31,886,"Fiction,Music,Literature,Literary Fiction,European Literature,Contemporary,Novels,Philosophy,Modern,The United States Of America"
The World Rose,Richard Brittain,1.72,360,
برهان العسل,سلوى النعيمي,2.64,2377,"Fiction,Adult Fiction,Novels,Literature,Sexuality,Feminism,Romance,Literature,Adult,Cultural"
My Empire of Dirt: How One Man Turned His Big-City Backyard Into a Farm,Manny Howard,2.79,419,"Nonfiction,Horticulture,Autobiography,Food and Drink,Biography,Biography,Science"
Look Both Ways,Alison Cherry,2.91,858,"LGBT,Young Adult,Contemporary,Romance,LGBT,Realistic Fiction,Fiction,LGBT,LGBT,Young Adult"
Wish Club: A Novel,Kim Strickland,2.90,252,"Womens Fiction,Fiction,Fantasy,Book Club,Fantasy"
You Don't Love Me Yet,Jonathan Lethem,2.83,4454,"Fiction,Music,Novels,Contemporary,Literature,Romance,Literary Fiction,Literature,The United States Of America,Audiobook"
Deer in the Headlights: My Life in Sarah Palin's Crosshairs,Levi Johnston,2.82,168,"Nonfiction,Autobiography,Biography,Biography,Biography Memoir"
The Sunshine When She's Gone,Thea Goodman,2.80,890,"Fiction,Contemporary,Adult Fiction,Adult,Book Club,Womens Fiction,Family"
Son of Rosemary,Ira Levin,2.54,3941,"Horror,Fiction,Mystery,Thriller,Fantasy,Fantasy,Fantasy,Classics,Suspense,Adult"
The Twins of Tribeca,Rachel Pine,2.89,559,"Womens Fiction,Fiction,Adult Fiction,Literature"
The Thomas Berryman Number,James Patterson,2.83,5630,"Mystery,Fiction,Thriller,Mystery,Suspense,Thriller,Audiobook,Action,Adult,Adult Fiction"
