Title,Author,Year,Rating,Raters
The Shining (Paperback),Stephen King,Missing,4.26,1331543
It (Paperback),Stephen King,Missing,4.25,979277
Dracula (Paperback),Bram Stoker,Missing,4.01,1119710
Carrie (Mass Market Paperback),Stephen King,Missing,3.98,630548
Pet Sematary (Kindle Edition),Stephen King,Missing,4.04,516216
Pet Sematary (Kindle Edition),Stephen King,Missing,4.04,516216
Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,Missing,3.84,1395329
The Haunting of Hill House (Paperback),Shirley Jackson,Missing,3.83,237615
'Salem's Lot (Paperback),Stephen King,Missing,4.05,398771
The Stand (Hardcover),Stephen King,Missing,4.34,702901
Misery (Paperback),Stephen King,Missing,4.20,606300
Mexican Gothic (Hardcover),Silvia Moreno-Garcia,Missing,3.68,261047
House of Leaves (Paperback),Mark Z. Danielewski,Missing,4.09,149031
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,Missing,4.01,540885
Doctor Sleep (Hardcover),Stephen King,Missing,4.12,233120
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,Missing,4.01,489789
We Have Always Lived in the Castle (Paperback),Shirley Jackson,Missing,3.96,172184
Cujo (Paperback),Stephen King,Missing,3.76,258537
NOS4A2 (Hardcover),Joe Hill,Missing,4.08,116598
The Exorcist (Mass Market Paperback),William Peter Blatty,Missing,4.19,210682
"Bird Box (Bird Box, #1)",Josh Malerman,Missing,4.04,170229
Heart-Shaped Box (Hardcover),Joe Hill,Missing,3.84,123528
Coraline (Paperback),Neil Gaiman,Missing,4.09,598310
Needful Things (Paperback),Stephen King,Missing,3.95,232394
Christine (Paperback),Stephen King,Missing,3.82,223540
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,Missing,3.83,491101
Let the Right One In (Hardcover),John Ajvide Lindqvist,Missing,4.04,102251
Night Shift (Paperback),Stephen King,Missing,4.02,165775
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,Missing,3.82,143395
The Only Good Indians (Hardcover),Stephen Graham Jones,Missing,3.72,53962
The Outsider (Hardcover),Stephen King,Missing,3.99,250074
"Rosemary's Baby (Rosemary's Baby, #1)",Ira Levin,Missing,4.02,127409
A Head Full of Ghosts (Hardcover),Paul Tremblay,Missing,3.80,65653
Firestarter (Mass Market Paperback),Stephen King,Missing,3.91,211580
The Dead Zone (Mass Market Paperback),Stephen King,Missing,3.95,205826
Cell (Mass Market Paperback),Stephen King,Missing,3.66,210682
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,Missing,4.23,517504
Horrorstör (Paperback),Grady Hendrix,Missing,3.66,60698
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,Missing,3.95,210579
Horns (Hardcover),Joe Hill,Missing,3.93,108615
My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,Missing,3.97,68838
The Picture of Dorian Gray (Paperback),Oscar Wilde,Missing,4.11,1273142
The Troop (Hardcover),Nick Cutter,Missing,3.82,52128
The Turn of the Screw (Paperback),Henry James,Missing,3.40,135391
"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,Missing,3.92,117699
Bag of Bones (Paperback),Stephen King,Missing,3.91,187378
The Tommyknockers (Mass Market Paperback),Stephen King,Missing,3.58,140642
Thinner (Mass Market Paperback),Richard Bachman,Missing,3.75,194815
Under the Dome (Hardcover),Stephen King,Missing,3.91,281707
The Dark Half (Paperback),Stephen King,Missing,3.80,134093
Missing,Missing,Missing,0,0
Missing,Missing,Missing,0,0
The Ballad of Black Tom (Paperback),Victor LaValle,Missing,3.88,22185
The Graveyard Book (Hardcover),Neil Gaiman,Missing,4.15,497224
The Last House on Needless Street (Hardcover),Catriona Ward,Missing,3.87,50296
"My Heart Is a Chainsaw (The Lake Witch Trilogy, #1)",Stephen Graham Jones,Missing,3.59,20068
The Hollow Places (Paperback),T. Kingfisher,Missing,3.80,18747
Lovecraft Country (ebook),Matt Ruff,Missing,4.02,39154
Nothing But Blackened Teeth (Hardcover),Cassandra Khaw,Missing,2.76,21690
The Twisted Ones (Hardcover),T. Kingfisher,Missing,3.64,18460
Hex (Paperback),Thomas Olde Heuvelt,Missing,3.73,28717
At the Mountains of Madness (Paperback),H.P. Lovecraft,Missing,3.84,44767
"Feed (Newsflesh, #1)",Mira Grant,Missing,3.85,56095
If It Bleeds (Kindle Edition),Stephen King,Missing,4.01,72590
Later (Kindle Edition),Stephen King,Missing,4.00,100820
The Call of Cthulhu and Other Weird Stories (Paperback),H.P. Lovecraft,Missing,4.18,43732
Sleeping Beauties (Hardcover),Stephen King,Missing,3.73,74814
Imaginary Friend (Hardcover),Stephen Chbosky,Missing,3.53,41555
The Ocean at the End of the Lane (Hardcover),Neil Gaiman,Missing,4.01,558253
Cycle of the Werewolf (Paperback),Stephen King,Missing,3.66,55156
20th Century Ghosts (Hardcover),Joe Hill,Missing,3.93,39570
"The Drawing of the Three (The Dark Tower, #2)",Stephen King,Missing,4.23,239973
Swan Song (Mass Market Paperback),Robert McCammon,Missing,4.28,62034
The Fireman (Paperback),Joe Hill,Missing,3.91,55875
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,Missing,3.98,261454
"Psycho (Psycho, #1)",Robert Bloch,Missing,4.12,60974
The Regulators (Mass Market Paperback),Richard Bachman,Missing,3.71,78742
Uzumaki (Hardcover),Junji Ito,Missing,4.44,42092
Watchers (Paperback),Dean Koontz,Missing,4.18,158396
Slade House (Kindle Edition),David Mitchell,Missing,3.81,59505
The Hunger (Hardcover),Alma Katsu,Missing,3.63,22500
Scary Stories to Tell in the Dark (Paperback),Alvin Schwartz,Missing,4.05,62828
Lisey's Story (Hardcover),Stephen King,Missing,3.70,79745
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,Missing,3.99,279704
The Historian (Kindle Edition),Elizabeth Kostova,Missing,3.79,256107
The Bazaar of Bad Dreams (Hardcover),Stephen King,Missing,3.92,55025
